Y_Variable,X_Variable,Regime1_Corr,Regime2_Corr,Difference,Z_Statistic,P_Value,Significant_5pct,Significant_1pct
CPI,MonthlyPrice_.NSEI,-0.6033090342631461,-0.15457746606340675,0.44873156819973936,2.4801535084109894,0.013132583081366667,True,False
CPI,MonthlyPrice_.NIFMDCP100,-0.5349310212889937,-0.13709630477901436,0.39783471650997937,2.098673636478978,0.035845680209978026,True,False
CPI,MonthlyPrice_.NIFSMCP100,-0.46307114260652327,-0.20241698987070808,0.26065415273581516,1.3530360555425716,0.17604411204145087,False,False
CPI,LogReturn_.NSEI,-0.13076005436823057,-0.2351013686240547,-0.10434131425582413,-0.4940559221189365,0.6212666859567677,False,False
CPI,LogReturn_.NIFMDCP100,-0.19184444565733255,-0.2079667961796022,-0.01612235052226965,-0.07677584866545804,0.9388018639890778,False,False
CPI,LogReturn_.NIFSMCP100,-0.16890255666286536,-0.2295529449399396,-0.06065038827707425,-0.28884023279907134,0.7727036423323463,False,False
CPI,Return3m_.NSEI,-0.2166490677822511,-0.3639204100291368,-0.14727134224688568,-0.7372242945742289,0.46098596164207484,False,False
CPI,Return3m_.NIFMDCP100,-0.22440638932942775,-0.2963254568592231,-0.07191906752979538,-0.3529092922101474,0.7241564443222932,False,False
CPI,Return3m_.NIFSMCP100,-0.16745152685920545,-0.2775319233162827,-0.11008039645707723,-0.5301402893389678,0.5960146668351318,False,False
CPI,Return6m_.NSEI,-0.24184850169145375,-0.2817099237597981,-0.03986142206834434,-0.19567539552275467,0.8448642436366676,False,False
CPI,Return6m_.NIFMDCP100,-0.1580888665975577,-0.2771403588304484,-0.11905149223289072,-0.5721691091821417,0.567207413034456,False,False
CPI,Return6m_.NIFSMCP100,-0.19525408422430982,-0.29053777739507913,-0.09528369317076932,-0.46338164742147014,0.6430908311763002,False,False
CPI,Return12m_.NSEI,0.28232989705023437,-0.32292050251466886,-0.6052503995649032,-2.8578134032629006,0.004265711557825513,True,True
CPI,Return12m_.NIFMDCP100,0.29827942193208107,-0.3453136957306844,-0.6435931176627654,-3.0526888338509335,0.002268009831777107,True,True
CPI,Return12m_.NIFSMCP100,0.17619404087129703,-0.34026703122503243,-0.5164610720963294,-2.434160194532495,0.014926387461384527,True,False
CPI,Drawdown3m_.NSEI,-0.11634678088823361,-0.22820274927730572,-0.11185596838907211,-0.5276444655090513,0.5977461247067857,False,False
CPI,Drawdown3m_.NIFMDCP100,-0.12939057941837853,-0.20529156130996304,-0.0759009818915845,-0.3571865058106551,0.7209521872988442,False,False
CPI,Drawdown3m_.NIFSMCP100,-0.06571466789361517,-0.21407292811891607,-0.1483582602253009,-0.6931836083135308,0.48819433358727826,False,False
CPI,Drawdown6m_.NSEI,-0.07353950950258256,-0.1530780432155822,-0.07953853371299963,-0.36855887559630596,0.7124565533046459,False,False
CPI,Drawdown6m_.NIFMDCP100,-0.11219429686898624,-0.12201629197323145,-0.00982199510424521,-0.04552747563789905,0.9636868752071741,False,False
CPI,Drawdown6m_.NIFSMCP100,0.007796036245079256,-0.1638124939219145,-0.17160853016699376,-0.7913438678746305,0.4287433560278229,False,False
CPI,Drawdown12m_.NSEI,0.054008049459475606,-0.14110202700838723,-0.19511007646786283,-0.8965487566639695,0.3699597523121825,False,False
CPI,Drawdown12m_.NIFMDCP100,-0.02734750995354457,-0.13963614198027482,-0.11228863202673026,-0.5175115872747086,0.6047990823192393,False,False
CPI,Drawdown12m_.NIFSMCP100,0.05625126096549735,-0.2999141592411968,-0.35616542020669417,-1.6720175458575877,0.09452086224171063,False,False
CPI,SemiStd3m_.NSEI,0.14519226455528172,0.11663114518884182,-0.028561119366439902,-0.13285805894157027,0.8943056368922717,False,False
CPI,SemiStd3m_.NIFMDCP100,0.05189806153698646,0.13412658736025615,0.0822285258232697,0.3794240602980137,0.7043729864241712,False,False
CPI,SemiStd3m_.NIFSMCP100,-0.030737139411630195,0.1315918651171068,0.162329004528737,0.7456649655355415,0.45586982780300467,False,False
CPI,SemiStd6m_.NSEI,0.1976530847972356,0.014737520708681643,-0.18291556408855394,-0.8482720577262128,0.396286475287281,False,False
CPI,SemiStd6m_.NIFMDCP100,-0.08247148823714193,0.060740021913979626,0.14321151015112155,0.6559137054411636,0.5118796493378013,False,False
CPI,SemiStd6m_.NIFSMCP100,-0.18641737976671563,0.07136174285714597,0.2577791226238616,1.1891151063648928,0.2343943746628061,False,False
CPI,SemiStd12m_.NSEI,0.17012498068848378,-0.18854016926345754,-0.3586651499519413,-1.6577653549167952,0.09736483666218487,False,False
CPI,SemiStd12m_.NIFMDCP100,-0.2721296881493575,-0.11501261561194637,0.15711707253741114,0.7480986906722188,0.454400631722399,False,False
CPI,SemiStd12m_.NIFSMCP100,-0.2771856498621199,-0.10673044430769218,0.17045520555442772,0.8114334476335043,0.4171167975962149,False,False
WPI,MonthlyPrice_.NSEI,-0.749022218648443,0.8429290506852868,1.5919512693337299,10.066460894797817,0.0,True,True
WPI,MonthlyPrice_.NIFMDCP100,-0.558578957309336,0.8693704243964736,1.4279493817058095,8.966202173216415,0.0,True,True
WPI,MonthlyPrice_.NIFSMCP100,-0.35814075072678786,0.8651676834939,1.223308434220688,7.718267672724169,1.176836406102666e-14,True,True
WPI,LogReturn_.NSEI,-0.06600182151742018,-0.08169076218786785,-0.015688940670447668,-0.07211917097905048,0.9425070697159179,False,False
WPI,LogReturn_.NIFMDCP100,-0.09416506820700371,-0.10301136786413675,-0.008846299657133044,-0.04083942271837957,0.9674239107767804,False,False
