,Ind_spread,Us_spread
MonthlyPrice_.NSEI,-146.55463954802275,-38.65465819209041
MonthlyPrice_.NIFMDCP100,-38.596865762711936,-20.200023728813573
MonthlyPrice_.NIFSMCP100,43.20482952542366,13.645712881355959
LogReturn_.NSEI,0.000564827406175256,-0.0038727964363744613
LogReturn_.NIFMDCP100,0.003430806718534698,-0.0024465919577185257
LogReturn_.NIFSMCP100,0.004584515895167384,-0.00043677267376524996
Return3m_.NSEI,0.007987105628546822,-0.005156437519777222
Return3m_.NIFMDCP100,0.018395124748056973,-0.0011754443995879167
Return3m_.NIFSMCP100,0.0239778144864123,0.00454712670384017
Return6m_.NSEI,0.00731486764855919,-0.0043951887448403296
Return6m_.NIFMDCP100,0.03050484427053594,0.0009245869466927754
Return6m_.NIFSMCP100,0.03480689531654209,0.006699667630037476
Return12m_.NSEI,0.06402318484751189,0.03329444296968881
Return12m_.NIFMDCP100,0.13990263273702414,0.058081918938620365
Return12m_.NIFSMCP100,0.14618305201827667,0.06018226776156219
Drawdown3m_.NSEI,0.0013872214981543412,-0.003462487072226699
Drawdown3m_.NIFMDCP100,0.005926176092057896,-0.0016528311542623228
Drawdown3m_.NIFSMCP100,0.008763958192118717,-0.0011576257292442687
Drawdown6m_.NSEI,0.0038910061957769543,-0.0036737373888951195
Drawdown6m_.NIFMDCP100,0.011140813669745444,-0.0014735736197470954
Drawdown6m_.NIFSMCP100,0.017097271812057252,-0.0016469474544980075
Drawdown12m_.NSEI,0.006098920481667478,-0.0008531112598354152
Drawdown12m_.NIFMDCP100,0.018090879056523193,-0.002588212204182977
Drawdown12m_.NIFSMCP100,0.026128128793197054,-0.0028413445733089958
SemiStd3m_.NSEI,-0.0005312119618996094,0.001486523574185553
SemiStd3m_.NIFMDCP100,-0.003957211457446599,-0.0001278750490888594
SemiStd3m_.NIFSMCP100,-0.005731973539065261,0.00013135593478850088
SemiStd6m_.NSEI,0.0011069581958645914,0.001393211953019938
SemiStd6m_.NIFMDCP100,-0.0036738130547732365,-0.0003754795359688082
SemiStd6m_.NIFSMCP100,-0.004163686085763103,-5.21623016523296e-06
SemiStd12m_.NSEI,0.0008389874163869413,-0.0005179725380494033
SemiStd12m_.NIFMDCP100,-0.004217469729977387,-0.0021960336501403786
SemiStd12m_.NIFSMCP100,-0.004398273842937079,-0.002279356236478484
