Y_Variable,X_Variable,Regime1_Corr,Regime2_Corr,Difference,Z_Statistic,P_Value,Significant_5pct,Significant_1pct
CPI,MonthlyPrice_.NSEI,-0.6033090342631461,-0.31944426128782955,0.28386477297531654,1.8419215818640295,0.06548662124214122,False,False
CPI,MonthlyPrice_.NIFMDCP100,-0.5349310212889937,-0.5468979925832387,-0.011966971294244955,-0.08483502341580332,0.9323925492354919,False,False
CPI,MonthlyPrice_.NIFSMCP100,-0.46307114260652327,-0.5625516016551358,-0.09948045904861258,-0.6787105194353669,0.4973212995524441,False,False
CPI,LogReturn_.NSEI,-0.13076005436823057,-0.1867299219449982,-0.05596986757676764,-0.28801209813211326,0.773337477908445,False,False
CPI,LogReturn_.NIFMDCP100,-0.19184444565733255,-0.1035122122065304,0.08833223345080216,0.4531623820460713,0.6504318180950979,False,False
CPI,LogReturn_.NIFSMCP100,-0.16890255666286536,-0.1163153163507225,0.05258724031214286,0.26925147758044016,0.7877361689966369,False,False
CPI,Return3m_.NSEI,-0.2166490677822511,-0.20685341730531226,0.009795650476938839,0.05142856769966886,0.958984021155197,False,False
CPI,Return3m_.NIFMDCP100,-0.22440638932942775,-0.09403665076157658,0.13036973856785117,0.6718476166486009,0.5016807114784136,False,False
CPI,Return3m_.NIFSMCP100,-0.16745152685920545,-0.12218652242969971,0.045265004429505734,0.23189615672939137,0.816618669660238,False,False
CPI,Return6m_.NSEI,-0.24184850169145375,-0.28920111344395594,-0.04735261175250219,-0.25553687836813976,0.7983084639827562,False,False
CPI,Return6m_.NIFMDCP100,-0.1580888665975577,-0.2225701036367065,-0.06448123703914882,-0.3356457579099423,0.7371380139056516,False,False
CPI,Return6m_.NIFSMCP100,-0.19525408422430982,-0.2846249457571283,-0.08937086153281851,-0.47596288908015805,0.6341008169175582,False,False
CPI,Return12m_.NSEI,0.28232989705023437,-0.2510163161827947,-0.5333462132330291,-2.7415737795328448,0.006114562691868386,True,True
CPI,Return12m_.NIFMDCP100,0.29827942193208107,-0.15525126093863947,-0.4535306828707205,-2.327550095343749,0.019936005999618756,True,False
CPI,Return12m_.NIFSMCP100,0.17619404087129703,-0.26654776219252113,-0.44274180306381816,-2.2626050062049536,0.023660049255515014,True,False
CPI,Drawdown3m_.NSEI,-0.11634678088823361,-0.17550209991494262,-0.05915531902670901,-0.30319766440591006,0.7617392288307752,False,False
CPI,Drawdown3m_.NIFMDCP100,-0.12939057941837853,-0.03574595196037508,0.09364462745800345,0.47317966670770545,0.636085003070598,False,False
CPI,Drawdown3m_.NIFSMCP100,-0.06571466789361517,-0.09048471558303932,-0.024770047689424146,-0.12498285789589038,0.9005371213359934,False,False
CPI,Drawdown6m_.NSEI,-0.07353950950258256,-0.32029938273879593,-0.24675987323621337,-1.295333935821507,0.19520505724376358,False,False
CPI,Drawdown6m_.NIFMDCP100,-0.11219429686898624,-0.0891928180257625,0.023001478843223747,0.11653204461596832,0.9072308911610745,False,False
CPI,Drawdown6m_.NIFSMCP100,0.007796036245079256,-0.18652503287178046,-0.19432106911685973,-0.985539439009517,0.3243591689058012,False,False
CPI,Drawdown12m_.NSEI,0.054008049459475606,-0.4163134854493654,-0.47032153490884104,-2.4937270292323612,0.012640971628592457,True,False
CPI,Drawdown12m_.NIFMDCP100,-0.02734750995354457,-0.1403050577626126,-0.11295754780906803,-0.5710843629681909,0.5679424577876593,False,False
CPI,Drawdown12m_.NIFSMCP100,0.05625126096549735,-0.1931608266027785,-0.24941208756827585,-1.263345084571548,0.2064651903585517,False,False
CPI,SemiStd3m_.NSEI,0.14519226455528172,0.2754210520606186,0.1302287875053369,0.6844785077362533,0.4936730563535616,False,False
CPI,SemiStd3m_.NIFMDCP100,0.05189806153698646,0.004860915420540185,-0.04703714611644627,-0.2361102807578958,0.8133470965517353,False,False
CPI,SemiStd3m_.NIFSMCP100,-0.030737139411630195,0.09545491393712022,0.12619205334875042,0.6343237223871117,0.5258695780145131,False,False
CPI,SemiStd6m_.NSEI,0.1976530847972356,0.5156303449461014,0.3179772601488658,1.8558350102804713,0.06347707866323504,False,False
CPI,SemiStd6m_.NIFMDCP100,-0.08247148823714193,0.07589166718280776,0.1583631554199497,0.795815889750154,0.4261390546495263,False,False
CPI,SemiStd6m_.NIFSMCP100,-0.18641737976671563,0.22264463411598143,0.40906201388269703,2.0813945708329356,0.03739780521247327,True,False
CPI,SemiStd12m_.NSEI,0.17012498068848378,0.38404047718436474,0.21391549649588096,1.1683973702565948,0.24264651521792935,False,False
CPI,SemiStd12m_.NIFMDCP100,-0.2721296881493575,-0.04013794025960802,0.2319917478897495,1.1985240289657553,0.23071307415863762,False,False
CPI,SemiStd12m_.NIFSMCP100,-0.2771856498621199,0.14912801070312248,0.4263136605652424,2.180782912712985,0.029199477007306518,True,False
WPI,MonthlyPrice_.NSEI,-0.749022218648443,0.6888848992784352,1.437907117926878,9.109446335015665,0.0,True,True
WPI,MonthlyPrice_.NIFMDCP100,-0.558578957309336,0.741228674639173,1.299807631948509,7.943089750616771,1.9984014443252818e-15,True,True
WPI,MonthlyPrice_.NIFSMCP100,-0.35814075072678786,0.6132189966038066,0.9713597473305945,5.4600662530110835,4.7595693608570855e-08,True,True
WPI,LogReturn_.NSEI,-0.06600182151742018,0.17066476164923264,0.23666658316665282,1.1957474693064045,0.23179512093867616,False,False
WPI,LogReturn_.NIFMDCP100,-0.09416506820700371,0.07180936455921288,0.1659744327662166,0.8343334438129699,0.40409311089257494,False,False
