Y_Variable,X_Variable,Regime1_Corr,Regime2_Corr,Difference,Z_Statistic,P_Value,Significant_5pct,Significant_1pct
Ind_spread,MonthlyPrice_.NSEI,-0.2759418977867033,0.4334951374860354,0.7094370352727387,3.383881196775011,0.0007146892060525545,True,True
Ind_spread,MonthlyPrice_.NIFMDCP100,-0.04725455292423827,0.36913353113009106,0.4163880840543293,1.967960544822203,0.04907257759115646,True,False
Ind_spread,MonthlyPrice_.NIFSMCP100,0.11196133154187085,0.2658971354247792,0.15393580388290837,0.7243808254835518,0.46883196828364193,False,False
Ind_spread,LogReturn_.NSEI,0.019965679650243685,-0.035826604695345224,-0.05579228434558891,-0.2526571543426226,0.8005331596830536,False,False
Ind_spread,LogReturn_.NIFMDCP100,0.10112703069485324,-0.06525267381727996,-0.1663797045121332,-0.7552035334315088,0.4501268688857527,False,False
Ind_spread,LogReturn_.NIFSMCP100,0.11291815968329084,-0.08827372452589755,-0.20119188420918838,-0.9140424475470307,0.3606945418266976,False,False
Ind_spread,Return3m_.NSEI,0.19786339905404995,-0.03440407494610759,-0.23226747400015754,-1.0635250140539922,0.2875439276723579,False,False
Ind_spread,Return3m_.NIFMDCP100,0.2901046003948729,-0.12724343272042107,-0.417348033115294,-1.9313276614824184,0.05344254468763898,False,False
Ind_spread,Return3m_.NIFSMCP100,0.29749585754903957,-0.16229690054584744,-0.459792758094887,-2.1300548798116172,0.0331670828063082,True,False
Ind_spread,Return6m_.NSEI,0.1288424709107547,-0.18511955156902948,-0.3139620224797842,-1.434363703691189,0.1514684998596001,False,False
Ind_spread,Return6m_.NIFMDCP100,0.3356690470284277,-0.3220884064570114,-0.6577574534854391,-3.092800970783637,0.001982770640521103,True,True
Ind_spread,Return6m_.NIFSMCP100,0.30596420330569823,-0.35196146053175337,-0.6579256638374515,-3.0954646582571503,0.0019650478935322457,True,True
Ind_spread,Return12m_.NSEI,0.5434716213552044,-0.5795657085463372,-1.1230373299015417,-5.7533554848992825,8.74892425173357e-09,True,True
Ind_spread,Return12m_.NIFMDCP100,0.6716763618751606,-0.6625903484387411,-1.3342667103139016,-7.294056472932339,3.006483950684924e-13,True,True
Ind_spread,Return12m_.NIFSMCP100,0.6163648289889269,-0.6341431260877667,-1.2505079550766935,-6.643194519697427,3.069566822944125e-11,True,True
Ind_spread,Drawdown3m_.NSEI,0.06796764050127103,0.0019977205034107243,-0.06596991999786031,-0.2991256998764685,0.7648441378330384,False,False
Ind_spread,Drawdown3m_.NIFMDCP100,0.22892657464249738,-0.04200615828068765,-0.27093273292318504,-1.24533991983486,0.21300682763523437,False,False
Ind_spread,Drawdown3m_.NIFSMCP100,0.2818894226454615,-0.09587634672962095,-0.37776576937508244,-1.747020489257843,0.08063378406281774,False,False
Ind_spread,Drawdown6m_.NSEI,0.1589779435570246,0.030034604919203352,-0.12894333863782126,-0.5898517943112784,0.5552900148570203,False,False
Ind_spread,Drawdown6m_.NIFMDCP100,0.32286012044386364,-0.05748123091868554,-0.3803413513625492,-1.7763391020728416,0.07567704194302816,False,False
Ind_spread,Drawdown6m_.NIFSMCP100,0.41199518313800465,-0.2610133837361738,-0.6730085668741784,-3.192525229391569,0.0014103462353189933,True,True
Ind_spread,Drawdown12m_.NSEI,0.18803910377208036,-0.05910397132425544,-0.2471430750963358,-1.1293983572190616,0.25872982554361634,False,False
Ind_spread,Drawdown12m_.NIFMDCP100,0.4062678863601875,-0.11167897064401602,-0.5179468570042035,-2.459467506303127,0.013914329274499648,True,False
Ind_spread,Drawdown12m_.NIFSMCP100,0.4964959539983381,-0.2724500996379043,-0.7689460536362425,-3.731001930575443,0.0001907197619492873,True,True
Ind_spread,SemiStd3m_.NSEI,-0.04680479968700785,-0.019127629440819808,0.02767717024618804,0.12544091434411894,0.9001744989417992,False,False
Ind_spread,SemiStd3m_.NIFMDCP100,-0.28571893865008274,0.06689338763118487,0.3526123262812676,1.633783352117697,0.10230434917199482,False,False
Ind_spread,SemiStd3m_.NIFSMCP100,-0.33202029111469805,0.14697469945974362,0.47899499057444167,2.2324987695202103,0.02558201646252045,True,False
Ind_spread,SemiStd6m_.NSEI,0.12497724525969683,0.1987420019856128,0.07376475672591595,0.34309947955674114,0.7315236226438788,False,False
Ind_spread,SemiStd6m_.NIFMDCP100,-0.38627233873532546,0.37403334716039577,0.7603056858957212,3.6239914391478334,0.0002900912106611475,True,True
Ind_spread,SemiStd6m_.NIFSMCP100,-0.3605658206754765,0.4834661961457097,0.8440320168211861,4.097154566557267,4.182596399471272e-05,True,True
Ind_spread,SemiStd12m_.NSEI,0.1362222378747833,0.6290036758317255,0.4927814379569422,2.7284279218605514,0.006363699571599435,True,True
Ind_spread,SemiStd12m_.NIFMDCP100,-0.5631479992652669,0.819005880183862,1.3821538794491288,8.108989863823362,4.440892098500626e-16,True,True
Ind_spread,SemiStd12m_.NIFSMCP100,-0.4637774492445647,0.7962303756818567,1.2600078249264215,7.199588036225884,6.039613253960852e-13,True,True
Us_spread,MonthlyPrice_.NSEI,-0.08716823668596829,0.8094666247427298,0.8966348614286981,5.490750130981259,4.002302378403044e-08,True,True
Us_spread,MonthlyPrice_.NIFMDCP100,-0.029619781269532828,0.7883481300344943,0.8179679113040271,4.964753383126869,6.878842406798924e-07,True,True
Us_spread,MonthlyPrice_.NIFSMCP100,0.042351650140086496,0.7271649309965702,0.6848132808564837,3.985215787472759,6.741882960881185e-05,True,True
Us_spread,LogReturn_.NSEI,-0.16395752572337433,-0.09125751697331677,0.07270000875005755,0.3347260107307166,0.7378317784673196,False,False
Us_spread,LogReturn_.NIFMDCP100,-0.08637158628449414,-0.21833681222496973,-0.1319652259404756,-0.6126109469097007,0.5401336182284815,False,False
Us_spread,LogReturn_.NIFSMCP100,-0.012884397542271407,-0.24356149072768815,-0.23067709318541674,-1.0669024301681138,0.28601589736020117,False,False
Us_spread,Return3m_.NSEI,-0.15299038783819083,-0.140340852417424,0.012649535420766828,0.0585251308426114,0.9533303452810058,False,False
Us_spread,Return3m_.NIFMDCP100,-0.0222020112207062,-0.31339750021913165,-0.29119548899842546,-1.3676414544654407,0.1714243338553887,False,False
Us_spread,Return3m_.NIFSMCP100,0.06756888169248607,-0.33607195042447424,-0.40364083211696034,-1.8892816774861179,0.05885409533568775,False,False
Us_spread,Return6m_.NSEI,-0.0927189384357005,-0.2653994831948789,-0.17268054475917838,-0.8099934454999536,0.41794394287210057,False,False
Us_spread,Return6m_.NIFMDCP100,0.0121850857403812,-0.4006576683443389,-0.4128427540847201,-1.976600285086234,0.048086829913164264,True,False
Us_spread,Return6m_.NIFSMCP100,0.07053374407847292,-0.40406795523833733,-0.47460169931681023,-2.2596981671818286,0.023839990138624367,True,False
Us_spread,Return12m_.NSEI,0.33849300513705827,-0.292509276015976,-0.6310022811530343,-2.9593365089311363,0.003083022421331627,True,True
Us_spread,Return12m_.NIFMDCP100,0.33397463350480616,-0.39476126061066646,-0.7287358941154727,-3.4619561827616425,0.0005362644547648454,True,True
Us_spread,Return12m_.NIFSMCP100,0.30391191076822704,-0.3352936903963439,-0.6392056011645709,-2.9996588275811247,0.002702821660198307,True,True
Us_spread,Drawdown3m_.NSEI,-0.20318090571214392,-0.1042662635747915,0.09891464213735242,0.4590524357493764,0.646196511870041,False,False
Us_spread,Drawdown3m_.NIFMDCP100,-0.07646954332594812,-0.27606047513049287,-0.19959093180454474,-0.9361685280481155,0.34918642439191006,False,False
Us_spread,Drawdown3m_.NIFSMCP100,-0.04459488025286502,-0.25934859636285595,-0.21475371610999094,-0.9995115429131448,0.3175469502251915,False,False
Us_spread,Drawdown6m_.NSEI,-0.17977173468340765,-0.11040072733282463,0.06937100735058302,0.32094324905752036,0.7482533981891653,False,False
Us_spread,Drawdown6m_.NIFMDCP100,-0.05114552961496456,-0.31998140595473246,-0.2688358763397679,-1.2695548911375434,0.2042432261608278,False,False
Us_spread,Drawdown6m_.NIFSMCP100,-0.04753170728597797,-0.4155024722623385,-0.3679707649763605,-1.7867271639293474,0.07398159647710001,False,False
Us_spread,Drawdown12m_.NSEI,-0.03150207955452321,-0.25771522104841454,-0.22621314149389132,-1.0509463386234035,0.2932832362141222,False,False
Us_spread,Drawdown12m_.NIFMDCP100,-0.06961311271064313,-0.39724106533122444,-0.3276279526205813,-1.5873856662913017,0.11242532366052482,False,False
Us_spread,Drawdown12m_.NIFSMCP100,-0.0646650560283346,-0.3719088051105524,-0.3072437490822178,-1.4752870931959157,0.14013537492594397,False,False
Us_spread,SemiStd3m_.NSEI,0.1568673984621255,0.1997878741666286,0.04292047570450311,0.20072206876343254,0.840915902516548,False,False
Us_spread,SemiStd3m_.NIFMDCP100,-0.011057932436640399,0.40922595830052744,0.4202838907371678,2.0178949131195987,0.04360220695404937,True,False
Us_spread,SemiStd3m_.NIFSMCP100,0.009112729875371704,0.38980619335828653,0.38069346348291483,1.821958657579737,0.06846125889331911,False,False
Us_spread,SemiStd6m_.NSEI,0.1883888815459202,0.3705337806504237,0.1821448991045035,0.8980599564215348,0.3691535858657229,False,False
Us_spread,SemiStd6m_.NIFMDCP100,-0.04728258117059968,0.6439349358584465,0.6912175170290462,3.676820634590475,0.00023615896858419916,True,True
Us_spread,SemiStd6m_.NIFSMCP100,-0.0005410054890165643,0.6176004282914356,0.6181414337804522,3.266995694343214,0.0010869533349100458,True,True
Us_spread,SemiStd12m_.NSEI,-0.10072508596661457,0.38240643518221024,0.4831315211488248,2.2813865279344463,0.022525584528197085,True,False
Us_spread,SemiStd12m_.NIFMDCP100,-0.3511946652082524,0.7105988043245445,1.0617934695327969,5.68237303662255,1.3283852240419947e-08,True,True
Us_spread,SemiStd12m_.NIFSMCP100,-0.28785774296260075,0.5648237822537283,0.8526815252163291,4.23787191958617,2.2564842721006784e-05,True,True
