Regime,Regime_Start,Regime_End,N_Observations,Y_Variable_Group,Y_Variable,X_Category,X_Variable,Correlation,Abs_Correlation,P_Value,Significant_5pct,Significant_1pct
Recent,2023-01-01,2025-12-31,35,Drawdown12m,Drawdown12m_.NIFMDCP100,commodity,BTC,-0.36737870053976507,0.36737870053976507,0.029926065806810342,True,False
Recent,2023-01-01,2025-12-31,35,Drawdown12m,Drawdown12m_.NIFSMCP100,commodity,Gold,-0.3519597148338959,0.3519597148338959,0.038128698531248784,True,False
Recent,2023-01-01,2025-12-31,35,Drawdown12m,Drawdown12m_.NIFSMCP100,commodity,Silver,-0.24155139007914617,0.24155139007914617,0.16213139261709797,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown12m,Drawdown12m_.NIFSMCP100,commodity,Crude,0.35005093999657094,0.35005093999657094,0.03926003370894149,True,False
Recent,2023-01-01,2025-12-31,35,Drawdown12m,Drawdown12m_.NIFSMCP100,commodity,BTC,-0.33991764249308143,0.33991764249308143,0.04572948282387812,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NSEI,commodity,Gold,0.4477949700528426,0.4477949700528426,0.006169816873399903,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NSEI,commodity,Silver,0.6066452368367926,0.6066452368367926,8.77537671151174e-05,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NSEI,commodity,Crude,0.2881601214471207,0.2881601214471207,0.08832375234726708,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NSEI,commodity,BTC,0.3463184740133431,0.3463184740133431,0.03853712463123338,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Gold,0.39037088355177496,0.39037088355177496,0.018581880135176476,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Silver,0.5866391643016838,0.5866391643016838,0.00016971345444916075,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Crude,0.26272792073772894,0.26272792073772894,0.12160472464815131,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,BTC,0.3180111392977201,0.3180111392977201,0.058741114167640385,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Gold,0.32224667449286304,0.32224667449286304,0.055272869888901566,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Silver,0.563121163824881,0.563121163824881,0.00034943466249615085,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Crude,0.17261687661749378,0.17261687661749378,0.3140634195569021,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,BTC,0.280896596503327,0.280896596503327,0.09701468941699076,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NSEI,commodity,Gold,0.1698820965834085,0.1698820965834085,0.5144953692408172,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NSEI,commodity,Silver,0.3311060277999408,0.3311060277999408,0.19422277920530262,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NSEI,commodity,Crude,-0.21694507664149015,0.21694507664149015,0.40293894375092254,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NSEI,commodity,BTC,0.12181140366900689,0.12181140366900689,0.6414112131852336,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Gold,0.24186061670411116,0.24186061670411116,0.34966024302274,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Silver,0.30515358107589674,0.30515358107589674,0.23364693352863175,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Crude,-0.567219946502687,0.567219946502687,0.01756711567270841,True,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,BTC,0.10198338986853693,0.10198338986853693,0.696922650486326,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Gold,0.35465783006150847,0.35465783006150847,0.1624705816621983,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Silver,0.38588307613545714,0.38588307613545714,0.1260623523846518,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Crude,-0.6085119706478227,0.6085119706478227,0.009539347324207359,True,True
Derivatives_Expansion,2015-01-01,2018-12-31,48,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,BTC,0.09814124740313222,0.09814124740313222,0.7078601071187696,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NSEI,commodity,Gold,0.014142753020162649,0.014142753020162649,0.9357323040553815,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NSEI,commodity,Silver,0.028529127010256432,0.028529127010256432,0.8707673546136026,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NSEI,commodity,Crude,0.015100955748942352,0.015100955748942352,0.931387952492176,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NSEI,commodity,BTC,-0.07192816668226559,0.07192816668226559,0.681357688563176,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Gold,-0.1385893115733212,0.1385893115733212,0.4272121929588173,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Silver,-0.08566562078995556,0.08566562078995556,0.6246293301292334,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,Crude,0.1206685437499753,0.1206685437499753,0.48988736754075135,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFMDCP100,commodity,BTC,-0.22475076794527615,0.22475076794527615,0.19427531796331987,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Gold,-0.16156899674627437,0.16156899674627437,0.35379509307538926,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Silver,-0.11008273298228535,0.11008273298228535,0.52900598880005,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,Crude,0.11368953437146678,0.11368953437146678,0.5155094024445299,False,False
Recent,2023-01-01,2025-12-31,35,Drawdown3m,Drawdown3m_.NIFSMCP100,commodity,BTC,-0.24718245847741532,0.24718245847741532,0.15226779977374583,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NSEI,commodity,Gold,0.40636363078919957,0.40636363078919957,0.013920951870922238,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NSEI,commodity,Silver,0.7034347746960523,0.7034347746960523,1.7091329180818349e-06,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NSEI,commodity,Crude,0.4137199054532794,0.4137199054532794,0.012133694260974215,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NSEI,commodity,BTC,0.46314399031769293,0.46314399031769293,0.004447350769414715,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Gold,0.3196659113821714,0.3196659113821714,0.05736613447296812,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Silver,0.6690975080470312,0.6690975080470312,8.14272925508952e-06,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,Crude,0.41569467387591263,0.41569467387591263,0.011688394582144435,True,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFMDCP100,commodity,BTC,0.4660120187373762,0.4660120187373762,0.004176547676692177,True,True
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Gold,0.2684738870016068,0.2684738870016068,0.11337209585898256,False,False
COVID,2020-01-01,2022-12-31,36,Drawdown6m,Drawdown6m_.NIFSMCP100,commodity,Silver,0.6969028424446495,0.6969028424446495,2.3383181093628025e-06,True,True
