Regime1,Regime2,Category,N_Significant_5pct,N_Significant_1pct,N_Total,Pct_Different_5pct,Pct_Different_1pct,Mean_Abs_Difference
Post_GFC,GFC,macro,34,16,132,25.757575757575758,12.121212121212121,0.26676782690354733
Post_GFC,GFC,fixed_income,41,18,66,62.121212121212125,27.27272727272727,0.3880283791036404
Post_GFC,GFC,valuation,44,21,198,22.22222222222222,10.606060606060606,0.2191417379487075
Post_GFC,Derivatives_Expansion,macro,34,21,132,25.757575757575758,15.909090909090908,0.2773096257427683
Post_GFC,Derivatives_Expansion,fixed_income,25,18,66,37.878787878787875,27.27272727272727,0.3176152867368342
Post_GFC,Derivatives_Expansion,valuation,55,33,198,27.77777777777778,16.666666666666664,0.2708770425311965
Post_GFC,Derivatives_Expansion,vix,0,0,66,0.0,0.0,0.13008430740502766
Post_GFC,COVID,macro,25,18,132,18.939393939393938,13.636363636363635,0.2769483065539362
Post_GFC,COVID,fixed_income,12,5,66,18.181818181818183,7.575757575757576,0.25644552364511475
Post_GFC,COVID,valuation,67,37,198,33.83838383838384,18.68686868686869,0.28239285418678894
Post_GFC,COVID,vix,27,14,66,40.909090909090914,21.21212121212121,0.2791460335943296
Post_GFC,Recent,macro,24,13,132,18.181818181818183,9.848484848484848,0.2651553739938425
Post_GFC,Recent,fixed_income,31,23,66,46.96969696969697,34.84848484848485,0.4646691051608127
Post_GFC,Recent,valuation,50,31,198,25.252525252525253,15.656565656565657,0.28374617147350945
Post_GFC,Recent,vix,23,11,66,34.84848484848485,16.666666666666664,0.3043090122797632
