"Date","Price","Open","High","Low","Change %"
"01-11-2019","5.524","5.667","5.727","5.515","-1.48%"
"01-10-2019","5.607","5.982","5.982","5.607","-3.21%"
"01-09-2019","5.793","5.812","6.165","5.728","-0.74%"
"01-08-2019","5.836","6.075","6.134","5.806","-3.04%"
"01-07-2019","6.019","6.344","6.579","6.019","-4.43%"
"01-06-2019","6.298","6.370","6.555","6.161","-1.55%"
"01-05-2019","6.397","6.740","6.822","6.378","-4.83%"
"01-04-2019","6.722","6.532","6.991","6.483","3.18%"
"01-03-2019","6.515","6.749","6.749","6.515","-3.21%"
"01-02-2019","6.731","7.143","7.167","6.683","-2.94%"
"01-01-2019","6.935","7.081","7.194","6.930","-1.13%"
"01-12-2018","7.014","7.376","7.487","7.014","-3.92%"
"01-11-2018","7.300","7.642","7.655","7.288","-3.85%"
"01-10-2018","7.592","7.861","8.344","7.549","-3.50%"
"01-09-2018","7.867","7.724","8.395","7.705","1.39%"
"01-08-2018","7.759","7.556","7.896","7.544","2.35%"
"01-07-2018","7.581","7.636","7.772","7.578","0.96%"
"01-06-2018","7.509","7.647","7.801","7.405","-0.57%"
"01-05-2018","7.552","7.324","7.779","7.298","3.03%"
"01-04-2018","7.330","6.833","7.460","6.728","7.02%"
"01-03-2018","6.849","6.888","7.031","6.771","-0.01%"
"01-02-2018","6.850","6.912","7.088","6.782","-0.15%"
"01-01-2018","6.860","6.812","6.967","6.738","1.95%"
"01-12-2017","6.729","6.608","6.944","6.546","2.23%"
"01-11-2017","6.582","6.490","6.683","6.470","1.65%"
"01-10-2017","6.475","6.465","6.520","6.378","1.14%"
"01-09-2017","6.402","6.354","6.551","6.321","0.82%"
"01-08-2017","6.350","6.324","6.577","6.242","0.67%"
"01-07-2017","6.308","6.514","6.514","6.277","-1.07%"
"01-06-2017","6.376","6.437","6.734","6.281","-2.27%"
"01-05-2017","6.524","6.727","6.753","6.498","-1.05%"
"01-04-2017","6.593","6.568","6.753","6.468","2.14%"
"01-03-2017","6.455","6.474","6.584","6.400","0.20%"
"01-02-2017","6.442","6.317","6.672","6.237","2.56%"
"01-01-2017","6.281","6.326","6.367","6.235","-1.43%"
"01-12-2016","6.372","5.971","6.576","5.948","6.38%"
"01-11-2016","5.990","6.570","6.604","5.913","-8.45%"
"01-10-2016","6.543","6.703","6.946","6.530","-2.21%"
"01-09-2016","6.691","6.835","6.967","6.657","-2.14%"
"01-08-2016","6.837","6.866","7.046","6.827","-0.26%"
"01-07-2016","6.855","7.038","7.038","6.853","-2.48%"
"01-06-2016","7.029","7.121","7.232","7.029","-1.22%"
"01-05-2016","7.116","7.178","7.207","7.106","-0.67%"
"01-04-2016","7.164","7.233","7.286","7.071","-1.47%"
"01-03-2016","7.271","7.447","7.531","7.190","-1.84%"
"01-02-2016","7.407","7.331","7.703","7.253","1.12%"
"01-01-2016","7.325","7.424","7.477","7.231","-0.52%"
"01-12-2015","7.363","7.552","7.722","7.223","-1.37%"
"01-11-2015","7.465","7.423","7.555","7.395","0.73%"
"01-10-2015","7.411","7.468","7.554","7.394","-2.01%"
"01-09-2015","7.563","7.727","7.863","7.440","-3.90%"
"01-08-2015","7.870","7.806","7.919","7.652","0.81%"
"01-07-2015","7.807","7.773","8.067","7.706","0.08%"
"01-06-2015","7.801","7.779","8.069","7.753","0.22%"
"01-05-2015","7.784","7.877","8.088","7.676","-1.24%"
"01-04-2015","7.882","7.763","7.882","7.739","0.69%"
"01-03-2015","7.828","7.804","8.060","7.718","0.92%"
"01-02-2015","7.757","7.754","7.949","7.714","-0.30%"
"01-01-2015","7.780","7.947","8.057","7.605","-0.14%"
"01-12-2014","7.791","8.030","8.339","7.725","-3.04%"
"01-11-2014","8.035","8.238","8.264","8.035","-2.13%"
"01-10-2014","8.210","8.413","8.451","8.174","-2.63%"
"01-09-2014","8.432","8.434","8.694","8.362","-0.24%"
"01-08-2014","8.452","8.153","8.831","8.153","4.11%"
"01-07-2014","8.118","8.182","8.479","8.056","-0.84%"
"01-06-2014","8.187","8.374","8.658","8.101","-1.88%"
"01-05-2014","8.344","8.522","8.739","8.320","-2.44%"
"01-04-2014","8.553","8.581","8.774","8.446","1.40%"
"01-03-2014","8.435","8.755","8.832","8.435","-2.32%"
"01-02-2014","8.635","8.654","8.820","8.502","0.51%"
"01-01-2014","8.591","8.600","8.752","8.308","1.07%"
"01-12-2013","8.500","8.589","8.667","8.272","1.98%"
"01-11-2013","8.335","8.381","8.957","8.333","-0.45%"
"01-10-2013","8.373","8.612","8.614","8.232","-3.24%"
"01-09-2013","8.653","9.400","9.471","8.487","-6.66%"
"01-08-2013","9.270","9.002","9.767","8.860","3.36%"
"01-07-2013","8.969","7.588","9.349","7.517","18.64%"
"01-06-2013","7.560","7.330","7.772","7.287","3.29%"
"01-05-2013","7.319","7.424","7.688","7.219","-1.82%"
"01-04-2013","7.455","7.761","7.761","7.438","-3.68%"
"01-03-2013","7.740","7.796","7.870","7.676","0.39%"
"01-02-2013","7.710","7.777","7.794","7.681","-0.48%"
"01-01-2013","7.747","8.021","8.063","7.680","-3.50%"
"01-12-2012","8.028","8.036","8.068","7.965","-0.09%"
"01-11-2012","8.035","8.026","8.059","7.879","2.02%"
"01-10-2012","7.876","7.937","7.937","7.812","-0.66%"
"01-09-2012","7.928","7.912","7.958","7.912","0.14%"
"01-08-2012","7.917","8.023","8.023","7.855","-1.70%"
"01-07-2012","8.054","8.008","8.054","7.816","0.81%"
"01-06-2012","7.989","7.990","8.029","7.806","0.09%"
"01-05-2012","7.982","7.850","8.114","7.850","1.24%"
"01-04-2012","7.884","8.167","8.167","7.562","-0.99%"
"01-03-2012","7.963","8.068","8.314","7.963","-0.97%"
"01-02-2012","8.041","7.925","8.042","7.905","-0.12%"
"01-01-2012","8.051","8.307","8.307","7.856","-1.58%"
"01-12-2011","8.180","8.447","8.547","8.022","-4.08%"
"01-11-2011","8.528","8.653","8.855","8.436","-1.36%"
"01-10-2011","8.646","8.394","8.646","8.378","3.46%"
"01-09-2011","8.357","8.239","8.357","8.185","1.48%"
"01-08-2011","8.235","8.350","8.366","8.146","-1.61%"
"01-07-2011","8.370","8.202","8.370","8.113","2.19%"
"01-06-2011","8.191","8.267","8.267","8.095","-0.97%"
"01-05-2011","8.271","7.946","8.275","7.927","3.97%"
"01-04-2011","7.955","7.589","7.955","7.575","4.96%"
"01-03-2011","7.579","7.690","7.731","7.579","-1.72%"
"01-02-2011","7.712","7.756","7.792","7.686","-0.12%"
"01-01-2011","7.721","7.540","7.804","7.387","2.84%"
"01-12-2010","7.508","7.318","7.538","7.295","2.60%"
"01-11-2010","7.318","7.257","7.319","7.121","0.84%"
"01-10-2010","7.257","6.987","7.292","6.987","3.35%"
"01-09-2010","7.022","6.812","7.022","6.812","3.08%"
"01-08-2010","6.812","7.075","7.092","6.812","-2.88%"
"01-07-2010","7.014","6.183","7.014","6.183","13.09%"
"01-06-2010","6.202","5.943","6.303","5.924","4.62%"
"01-05-2010","5.928","5.920","5.962","5.807","0.10%"
"01-04-2010","5.922","6.198","6.232","5.922","-4.08%"
"01-03-2010","6.174","6.168","6.224","6.079","0.44%"
"01-02-2010","6.147","5.160","6.216","5.160","18.14%"
"01-01-2010","5.203","5.539","5.539","5.163","-8.64%"
"01-12-2009","5.695","5.573","5.822","5.573","3.02%"
"01-11-2009","5.528","5.919","5.919","5.393","-6.21%"
"01-10-2009","5.894","5.800","6.017","5.795","1.25%"
"01-09-2009","5.821","5.976","6.107","5.792","-2.50%"
"01-08-2009","5.970","5.264","5.970","5.264","15.03%"
"01-07-2009","5.190","5.308","5.353","4.959","-4.16%"
"01-06-2009","5.415","5.037","5.508","5.037","7.40%"
"01-05-2009","5.042","4.750","5.052","4.619","7.14%"
"01-04-2009","4.706","5.495","5.495","4.735","-14.41%"
"01-03-2009","5.498","4.798","5.683","4.798","10.89%"
"01-02-2009","4.958","4.662","5.128","4.634","6.30%"
"01-01-2009","4.664","5.023","5.203","4.349","-11.08%"
"01-12-2008","5.245","6.837","6.967","5.245","-23.25%"
"01-11-2008","6.834","7.248","7.347","6.483","-7.79%"
"01-10-2008","7.411","8.662","8.706","7.318","-15.72%"
"01-09-2008","8.793","9.129","9.129","8.526","-3.44%"
"01-08-2008","9.106","9.420","9.420","9.005","-3.54%"
"01-07-2008","9.440","9.261","9.631","9.205","2.00%"
"01-06-2008","9.255","7.977","9.293","7.974","15.76%"
"01-05-2008","7.995","7.813","7.995","7.699","2.28%"
"01-04-2008","7.817","7.584","7.983","7.523","2.86%"
"01-03-2008","7.600","7.464","7.600","7.464","1.36%"
"01-02-2008","7.498","7.436","7.591","7.384","0.21%"
"01-01-2008","7.482","7.620","7.620","7.261","-92.29%"
