Index Name,pe,pb,divYield,DATE
Nifty 50,11.62,2.07,1.83,1999-01-01
Nifty 50,11.72,2.08,1.81,1999-01-04
Nifty 50,11.84,2.11,1.79,1999-01-05
Nifty 50,12.11,2.16,1.75,1999-01-06
Nifty 50,12.46,2.22,1.71,1999-01-07
Nifty 50,12.92,2.30,1.64,1999-01-08
Nifty 50,12.86,2.29,1.65,1999-01-11
Nifty 50,12.59,2.24,1.69,1999-01-12
Nifty 50,12.54,2.23,1.69,1999-01-13
Nifty 50,12.46,2.22,1.70,1999-01-14
Nifty 50,12.19,2.17,1.74,1999-01-15
Nifty 50,12.33,2.19,1.72,1999-01-18
Nifty 50,12.06,2.15,1.76,1999-01-19
Nifty 50,12.84,2.29,1.65,1999-01-21
Nifty 50,12.71,2.26,1.67,1999-01-22
Nifty 50,12.61,2.24,1.68,1999-01-25
Nifty 50,12.90,2.29,1.65,1999-01-27
Nifty 50,12.68,2.26,1.68,1999-01-28
Nifty 50,12.83,2.28,1.66,1999-01-29
Nifty 50,12.48,2.22,1.70,1999-02-01
Nifty 50,12.36,2.20,1.72,1999-02-02
Nifty 50,12.64,2.25,1.69,1999-02-03
Nifty 50,12.48,2.22,1.71,1999-02-04
Nifty 50,12.43,2.21,1.71,1999-02-05
Nifty 50,12.17,2.17,1.75,1999-02-08
Nifty 50,12.28,2.18,1.73,1999-02-09
Nifty 50,12.74,2.27,1.67,1999-02-10
Nifty 50,12.75,2.27,1.67,1999-02-11
Nifty 50,12.88,2.29,1.62,1999-02-12
Nifty 50,12.67,2.26,1.64,1999-02-15
Nifty 50,12.73,2.27,1.63,1999-02-16
Nifty 50,12.87,2.29,1.64,1999-02-17
Nifty 50,12.92,2.30,1.63,1999-02-18
Nifty 50,12.96,2.31,1.63,1999-02-19
Nifty 50,12.66,2.25,1.66,1999-02-22
Nifty 50,12.61,2.24,1.67,1999-02-23
Nifty 50,12.72,2.26,1.66,1999-02-24
Nifty 50,12.68,2.26,1.66,1999-02-25
Nifty 50,12.51,2.23,1.66,1999-02-26
Nifty 50,13.04,2.32,1.59,1999-02-27
Nifty 50,13.50,2.40,1.54,1999-03-01
Nifty 50,13.98,2.49,1.49,1999-03-03
Nifty 50,13.83,2.46,1.50,1999-03-04
Nifty 50,14.01,2.49,1.48,1999-03-05
Nifty 50,14.25,2.53,1.46,1999-03-08
Nifty 50,14.33,2.55,1.45,1999-03-09
Nifty 50,14.35,2.55,1.46,1999-03-10
Nifty 50,14.09,2.51,1.48,1999-03-11
Nifty 50,14.26,2.54,1.37,1999-03-12
Nifty 50,14.28,2.54,1.37,1999-03-15
Nifty 50,14.00,2.49,1.39,1999-03-16
Nifty 50,14.10,2.51,1.51,1999-03-17
Nifty 50,14.29,2.54,1.49,1999-03-18
Nifty 50,14.13,2.52,1.50,1999-03-19
Nifty 50,14.10,2.51,1.50,1999-03-20
Nifty 50,14.13,2.52,1.50,1999-03-22
Nifty 50,14.27,2.54,1.49,1999-03-23
Nifty 50,14.13,2.51,1.51,1999-03-24
Nifty 50,14.03,2.50,1.52,1999-03-25
Nifty 50,13.85,2.46,1.53,1999-03-26
Nifty 50,14.02,2.50,1.51,1999-03-30
Nifty 50,16.53,2.84,1.48,1999-03-31
Nifty 50,16.31,2.80,1.50,1999-04-01
Nifty 50,15.51,2.66,1.56,1999-04-05
Nifty 50,15.71,2.70,1.54,1999-04-06
Nifty 50,15.81,2.72,1.54,1999-04-07
Nifty 50,15.65,2.69,1.55,1999-04-08
Nifty 50,15.24,2.62,1.60,1999-04-09
Nifty 50,15.31,2.63,1.59,1999-04-12
Nifty 50,15.25,2.62,1.59,1999-04-13
Nifty 50,14.87,2.56,1.63,1999-04-15
Nifty 50,16.04,2.76,1.38,1999-04-16
Nifty 50,14.85,2.55,1.49,1999-04-17
Nifty 50,15.26,2.62,1.45,1999-04-19
Nifty 50,15.29,2.63,1.45,1999-04-20
Nifty 50,15.31,2.63,1.45,1999-04-21
Nifty 50,15.08,2.59,1.47,1999-04-22
Nifty 50,15.08,2.59,1.46,1999-04-23
Nifty 50,14.30,2.46,1.54,1999-04-26
Nifty 50,14.49,2.49,1.52,1999-04-28
Nifty 50,14.84,2.55,1.48,1999-04-29
Nifty 50,15.02,2.58,1.25,1999-04-30
Nifty 50,14.95,2.56,1.25,1999-05-03
Nifty 50,15.53,2.66,1.21,1999-05-04
Nifty 50,15.73,2.69,1.35,1999-05-05
Nifty 50,16.15,2.76,1.31,1999-05-06
Nifty 50,16.40,2.81,1.29,1999-05-07
Nifty 50,16.88,2.89,1.26,1999-05-10
Nifty 50,17.21,2.95,1.23,1999-05-11
Nifty 50,17.14,2.93,1.24,1999-05-12
Nifty 50,17.71,3.03,1.20,1999-05-13
Nifty 50,17.98,3.08,1.05,1999-05-14
Nifty 50,17.77,3.04,1.07,1999-05-17
Nifty 50,17.90,3.06,1.06,1999-05-18
Nifty 50,18.22,3.12,1.05,1999-05-19
Nifty 50,18.01,3.08,1.06,1999-05-20
Nifty 50,17.69,3.03,1.05,1999-05-21
Nifty 50,18.08,3.01,1.04,1999-05-24
Nifty 50,18.16,3.03,1.03,1999-05-25
Nifty 50,18.28,3.10,1.30,1999-05-26
Nifty 50,17.32,2.96,1.35,1999-05-27
Nifty 50,17.20,2.93,1.28,1999-05-28
Nifty 50,18.01,3.05,1.23,1999-05-31
Nifty 50,18.25,3.02,1.24,1999-06-01
Nifty 50,18.27,3.05,1.24,1999-06-02
Nifty 50,18.75,3.08,1.23,1999-06-03
Nifty 50,17.45,3.02,1.18,1999-06-04
Nifty 50,17.48,3.03,1.17,1999-06-07
Nifty 50,17.82,3.09,1.15,1999-06-08
Nifty 50,17.58,3.05,1.20,1999-06-09
Nifty 50,17.57,3.04,1.17,1999-06-10
Nifty 50,17.25,2.99,1.14,1999-06-11
Nifty 50,17.03,2.95,1.16,1999-06-14
Nifty 50,16.93,2.93,1.17,1999-06-15
Nifty 50,17.35,3.01,1.22,1999-06-16
Nifty 50,17.78,3.08,1.19,1999-06-17
Nifty 50,17.76,3.08,0.88,1999-06-18
Nifty 50,18.17,3.15,0.89,1999-06-21
Nifty 50,18.35,3.18,0.85,1999-06-22
Nifty 50,18.03,3.12,0.97,1999-06-23
Nifty 50,17.85,3.09,0.98,1999-06-24
Nifty 50,17.79,3.08,0.97,1999-06-25
Nifty 50,18.02,3.12,0.95,1999-06-28
Nifty 50,18.00,3.12,0.95,1999-06-29
Nifty 50,17.91,3.11,1.22,1999-06-30
Nifty 50,17.84,3.10,1.22,1999-07-01
Nifty 50,18.06,3.14,1.20,1999-07-02
Nifty 50,18.55,3.22,1.17,1999-07-05
Nifty 50,18.72,3.25,1.16,1999-07-06
Nifty 50,18.75,3.26,1.20,1999-07-07
Nifty 50,18.76,3.26,1.20,1999-07-08
Nifty 50,18.91,3.28,1.18,1999-07-09
Nifty 50,19.83,3.44,1.13,1999-07-12
Nifty 50,19.92,3.46,1.12,1999-07-13
Nifty 50,20.18,3.50,1.18,1999-07-14
Nifty 50,19.92,3.46,1.19,1999-07-15
Nifty 50,20.02,3.47,1.13,1999-07-16
Nifty 50,20.40,3.54,1.11,1999-07-19
Nifty 50,19.87,3.45,1.14,1999-07-20
Nifty 50,20.26,3.52,1.14,1999-07-21
Nifty 50,20.39,3.54,1.13,1999-07-22
Nifty 50,20.46,3.55,1.06,1999-07-23
Nifty 50,20.18,3.50,1.07,1999-07-26
Nifty 50,19.94,3.46,1.08,1999-07-27
Nifty 50,20.09,3.49,1.07,1999-07-28
Nifty 50,20.18,3.50,1.07,1999-07-29
Nifty 50,19.94,3.46,1.08,1999-07-30
Nifty 50,19.63,3.41,1.10,1999-08-02
Nifty 50,19.53,3.39,1.10,1999-08-03
Nifty 50,20.18,3.50,1.07,1999-08-04
Nifty 50,20.13,3.49,1.07,1999-08-05
Nifty 50,20.03,3.48,1.07,1999-08-06
Nifty 50,20.20,3.51,1.06,1999-08-09
Nifty 50,19.83,3.44,1.07,1999-08-10
Nifty 50,19.92,3.45,1.10,1999-08-11
Nifty 50,19.83,3.44,1.10,1999-08-12
Nifty 50,19.56,3.39,1.12,1999-08-13
Nifty 50,19.83,3.44,1.10,1999-08-16
Nifty 50,20.03,3.47,1.09,1999-08-17
Nifty 50,20.64,3.58,1.06,1999-08-18
Nifty 50,20.37,3.53,1.07,1999-08-19
Nifty 50,20.40,3.54,1.01,1999-08-20
Nifty 50,20.74,3.60,0.99,1999-08-23
Nifty 50,20.94,3.63,0.98,1999-08-24
Nifty 50,20.79,3.60,1.09,1999-08-25
Nifty 50,21.25,3.68,1.07,1999-08-26
Nifty 50,21.48,3.72,1.06,1999-08-27
Nifty 50,21.56,3.74,1.05,1999-08-30
Nifty 50,21.40,3.71,1.06,1999-08-31
Nifty 50,21.38,3.71,1.06,1999-09-01
Nifty 50,20.85,3.61,1.09,1999-09-02
Nifty 50,20.84,3.61,1.08,1999-09-03
Nifty 50,21.07,3.65,1.07,1999-09-06
Nifty 50,20.96,3.63,1.08,1999-09-07
Nifty 50,21.73,3.87,1.04,1999-09-08
Nifty 50,21.69,3.86,1.05,1999-09-09
Nifty 50,21.60,3.85,1.05,1999-09-10
Nifty 50,21.28,3.79,1.07,1999-09-14
Nifty 50,21.34,3.80,1.06,1999-09-15
Nifty 50,20.98,3.74,1.08,1999-09-16
Nifty 50,21.11,3.76,1.08,1999-09-17
Nifty 50,21.06,3.76,1.08,1999-09-20
Nifty 50,20.95,3.74,1.08,1999-09-21
Nifty 50,21.51,3.84,1.06,1999-09-22
Nifty 50,21.68,3.87,1.05,1999-09-23
Nifty 50,21.91,3.91,1.04,1999-09-24
Nifty 50,21.55,3.84,1.06,1999-09-27
Nifty 50,21.39,3.82,1.06,1999-09-28
Nifty 50,21.99,3.92,1.04,1999-09-29
Nifty 50,21.96,3.92,1.04,1999-09-30
Nifty 50,21.81,3.89,1.09,1999-10-01
Nifty 50,21.33,3.80,0.93,1999-10-04
Nifty 50,21.42,3.82,1.11,1999-10-05
Nifty 50,21.73,3.88,1.10,1999-10-06
Nifty 50,22.94,4.09,1.04,1999-10-07
Nifty 50,23.08,4.12,1.03,1999-10-08
Nifty 50,23.16,4.13,1.03,1999-10-11
Nifty 50,23.16,4.13,1.03,1999-10-12
Nifty 50,23.35,4.17,1.02,1999-10-13
Nifty 50,23.49,4.19,1.01,1999-10-14
Nifty 50,22.65,4.04,1.05,1999-10-15
Nifty 50,22.48,4.01,1.06,1999-10-18
Nifty 50,23.01,4.11,1.03,1999-10-20
Nifty 50,22.63,4.04,1.05,1999-10-21
Nifty 50,22.27,3.98,1.07,1999-10-22
Nifty 50,22.57,4.03,1.05,1999-10-23
Nifty 50,22.21,3.96,1.07,1999-10-25
Nifty 50,22.02,3.93,1.08,1999-10-26
Nifty 50,21.99,3.92,1.08,1999-10-27
Nifty 50,21.31,3.80,1.12,1999-10-28
Nifty 50,20.65,3.69,1.15,1999-10-29
Nifty 50,19.78,3.53,1.20,1999-11-01
Nifty 50,20.75,3.70,1.15,1999-11-02
Nifty 50,20.66,3.69,1.17,1999-11-03
Nifty 50,20.83,3.72,1.16,1999-11-04
Nifty 50,21.26,3.79,1.14,1999-11-05
Nifty 50,21.34,3.81,1.14,1999-11-07
Nifty 50,21.36,3.81,1.14,1999-11-09
Nifty 50,21.64,3.86,1.12,1999-11-10
Nifty 50,21.65,3.86,1.12,1999-11-11
Nifty 50,21.41,3.82,1.14,1999-11-12
Nifty 50,21.24,3.79,1.14,1999-11-15
Nifty 50,21.16,3.78,1.15,1999-11-16
Nifty 50,21.10,3.77,1.15,1999-11-17
Nifty 50,21.28,3.80,1.14,1999-11-18
Nifty 50,21.25,3.79,1.14,1999-11-19
Nifty 50,21.46,3.83,1.13,1999-11-22
Nifty 50,21.76,3.89,1.12,1999-11-24
Nifty 50,21.98,3.92,1.11,1999-11-25
Nifty 50,21.84,3.90,1.11,1999-11-26
Nifty 50,21.60,3.86,1.12,1999-11-29
Nifty 50,21.47,3.83,1.13,1999-11-30
Nifty 50,21.69,3.87,1.12,1999-12-01
Nifty 50,22.01,3.93,1.10,1999-12-02
Nifty 50,22.15,3.95,1.09,1999-12-03
Nifty 50,22.54,4.02,1.08,1999-12-06
Nifty 50,22.58,4.03,1.07,1999-12-07
Nifty 50,23.41,4.18,1.04,1999-12-08
Nifty 50,23.56,4.20,1.03,1999-12-09
Nifty 50,23.43,4.18,1.03,1999-12-10
Nifty 50,23.23,4.15,1.04,1999-12-13
Nifty 50,22.75,4.06,1.07,1999-12-14
Nifty 50,22.80,4.07,1.08,1999-12-15
Nifty 50,23.10,4.12,1.06,1999-12-16
Nifty 50,23.10,4.12,1.06,1999-12-17
Nifty 50,23.15,4.13,1.06,1999-12-20
Nifty 50,23.13,4.13,1.06,1999-12-21
Nifty 50,24.11,4.30,1.02,1999-12-22
Nifty 50,24.22,4.32,1.02,1999-12-23
Nifty 50,23.74,4.24,1.04,1999-12-24
Nifty 50,23.30,4.16,1.06,1999-12-27
Nifty 50,23.47,4.19,1.05,1999-12-28
Nifty 50,24.02,4.29,1.03,1999-12-29
Nifty 50,24.09,4.30,1.02,1999-12-30
Nifty 50,25.91,4.63,0.95,2000-01-03
Nifty 50,26.67,4.76,0.92,2000-01-04
Nifty 50,25.97,4.64,0.95,2000-01-05
Nifty 50,26.32,4.70,0.94,2000-01-06
Nifty 50,26.25,4.69,0.94,2000-01-07
Nifty 50,26.57,4.74,0.93,2000-01-10
Nifty 50,25.59,4.57,0.96,2000-01-11
Nifty 50,26.44,4.72,0.93,2000-01-12
Nifty 50,26.38,4.71,0.93,2000-01-13
Nifty 50,26.41,4.71,0.93,2000-01-14
Nifty 50,26.22,4.68,0.94,2000-01-17
Nifty 50,26.15,4.67,0.94,2000-01-18
Nifty 50,26.60,4.75,0.93,2000-01-19
Nifty 50,26.05,4.65,0.95,2000-01-20
Nifty 50,26.37,4.71,0.93,2000-01-21
Nifty 50,26.26,4.69,0.94,2000-01-24
Nifty 50,25.81,4.61,0.95,2000-01-25
Nifty 50,26.10,4.66,0.94,2000-01-27
Nifty 50,26.02,4.65,0.95,2000-01-28
Nifty 50,25.16,4.49,0.98,2000-01-31
Nifty 50,25.13,4.51,0.98,2000-02-01
Nifty 50,25.75,4.62,0.95,2000-02-02
Nifty 50,25.91,4.65,0.95,2000-02-03
Nifty 50,25.94,4.65,0.94,2000-02-04
Nifty 50,26.54,4.76,0.92,2000-02-07
Nifty 50,26.96,4.83,0.91,2000-02-08
Nifty 50,27.40,4.91,0.93,2000-02-09
Nifty 50,27.75,4.98,0.92,2000-02-10
Nifty 50,28.47,5.11,0.90,2000-02-11
Nifty 50,28.29,5.07,0.90,2000-02-14
Nifty 50,27.19,4.93,0.92,2000-02-15
Nifty 50,27.32,4.95,0.92,2000-02-16
Nifty 50,27.82,5.04,0.90,2000-02-17
Nifty 50,27.43,4.97,0.90,2000-02-18
Nifty 50,28.00,5.08,0.89,2000-02-21
Nifty 50,27.77,5.03,0.89,2000-02-22
Nifty 50,27.09,4.91,0.92,2000-02-23
Nifty 50,27.66,5.01,0.90,2000-02-24
Nifty 50,27.29,4.95,0.91,2000-02-25
Nifty 50,27.49,4.98,0.90,2000-02-28
Nifty 50,26.36,4.79,0.94,2000-02-29
Nifty 50,27.35,4.96,0.91,2000-03-01
Nifty 50,27.09,4.92,0.91,2000-03-02
Nifty 50,26.47,4.80,0.94,2000-03-03
Nifty 50,26.99,4.89,0.92,2000-03-06
Nifty 50,27.22,4.94,0.91,2000-03-07
Nifty 50,26.64,4.83,1.03,2000-03-08
Nifty 50,26.32,4.77,1.04,2000-03-09
Nifty 50,25.62,4.65,1.07,2000-03-10
Nifty 50,24.95,4.52,1.10,2000-03-13
Nifty 50,25.05,4.54,1.09,2000-03-14
Nifty 50,25.90,4.70,1.06,2000-03-15
Nifty 50,24.97,4.53,1.09,2000-03-16
Nifty 50,24.89,4.51,1.02,2000-03-21
Nifty 50,25.41,4.61,1.03,2000-03-22
Nifty 50,24.83,4.50,1.06,2000-03-23
Nifty 50,25.09,4.55,1.05,2000-03-24
Nifty 50,24.99,4.53,1.05,2000-03-27
Nifty 50,25.08,4.55,1.04,2000-03-28
Nifty 50,25.08,4.55,1.04,2000-03-29
Nifty 50,24.94,4.52,1.05,2000-03-30
Nifty 50,24.60,4.46,1.06,2000-03-31
Nifty 50,24.70,4.48,1.06,2000-04-03
Nifty 50,22.99,4.17,1.14,2000-04-04
Nifty 50,23.09,4.19,1.51,2000-04-05
Nifty 50,23.39,4.24,1.49,2000-04-06
Nifty 50,25.06,4.54,1.39,2000-04-07
Nifty 50,25.96,4.71,1.34,2000-04-10
Nifty 50,25.72,4.71,1.33,2000-04-11
Nifty 50,25.21,4.62,1.47,2000-04-12
Nifty 50,23.98,4.38,1.54,2000-04-13
Nifty 50,21.74,3.91,1.62,2000-04-17
Nifty 50,21.31,3.84,1.66,2000-04-18
Nifty 50,21.07,3.80,1.73,2000-04-19
Nifty 50,21.23,3.83,1.71,2000-04-20
Nifty 50,20.82,3.76,1.75,2000-04-24
Nifty 50,20.39,3.68,1.78,2000-04-25
Nifty 50,21.54,3.89,1.73,2000-04-26
Nifty 50,21.25,3.84,1.75,2000-04-27
Nifty 50,21.10,3.81,1.77,2000-04-28
Nifty 50,20.00,3.61,1.86,2000-05-02
Nifty 50,19.74,3.56,1.91,2000-05-03
Nifty 50,20.71,3.74,1.82,2000-05-04
Nifty 50,21.33,3.85,1.77,2000-05-05
Nifty 50,20.47,3.70,1.74,2000-05-08
Nifty 50,20.68,3.73,1.72,2000-05-09
Nifty 50,20.57,3.71,1.74,2000-05-10
Nifty 50,19.68,3.55,1.81,2000-05-11
Nifty 50,19.36,3.49,1.84,2000-05-12
Nifty 50,19.54,3.52,1.82,2000-05-15
Nifty 50,19.66,3.54,1.81,2000-05-16
Nifty 50,19.88,3.70,1.79,2000-05-17
Nifty 50,19.44,3.64,1.81,2000-05-18
Nifty 50,19.05,3.57,1.85,2000-05-19
Nifty 50,18.53,3.47,1.89,2000-05-22
Nifty 50,18.40,3.45,1.91,2000-05-23
Nifty 50,20.69,4.09,1.80,2000-05-24
Nifty 50,20.89,4.13,1.79,2000-05-25
Nifty 50,21.35,4.22,1.75,2000-05-26
Nifty 50,21.95,4.34,1.50,2000-05-29
Nifty 50,22.34,4.57,1.47,2000-05-30
Nifty 50,22.96,4.70,1.43,2000-05-31
Nifty 50,22.46,4.52,1.46,2000-06-01
Nifty 50,23.13,4.65,1.42,2000-06-02
Nifty 50,23.38,4.71,1.39,2000-06-05
Nifty 50,23.67,4.76,1.38,2000-06-06
Nifty 50,23.70,4.78,1.39,2000-06-07
Nifty 50,24.25,4.89,1.36,2000-06-08
Nifty 50,24.31,4.90,1.36,2000-06-09
Nifty 50,23.87,4.81,1.36,2000-06-12
Nifty 50,23.74,4.79,1.36,2000-06-13
Nifty 50,23.79,4.77,1.38,2000-06-14
Nifty 50,23.95,4.81,1.37,2000-06-15
Nifty 50,24.48,4.91,1.34,2000-06-16
Nifty 50,24.84,4.98,1.27,2000-06-19
Nifty 50,24.98,5.01,1.26,2000-06-20
Nifty 50,24.45,4.91,1.29,2000-06-21
Nifty 50,24.67,4.95,1.28,2000-06-22
Nifty 50,22.95,4.89,1.29,2000-06-23
Nifty 50,22.63,4.82,1.23,2000-06-26
Nifty 50,22.67,4.83,1.23,2000-06-27
Nifty 50,22.91,4.88,1.27,2000-06-28
Nifty 50,23.26,4.96,1.25,2000-06-29
Nifty 50,22.94,4.89,1.26,2000-06-30
Nifty 50,23.31,4.97,1.09,2000-07-03
Nifty 50,23.56,5.02,1.08,2000-07-04
Nifty 50,23.50,4.86,1.11,2000-07-05
Nifty 50,23.35,4.83,1.11,2000-07-06
Nifty 50,23.37,4.83,1.11,2000-07-07
Nifty 50,23.24,4.81,1.08,2000-07-10
Nifty 50,23.38,4.84,1.08,2000-07-11
Nifty 50,23.61,4.88,1.07,2000-07-12
Nifty 50,23.44,4.85,1.08,2000-07-13
Nifty 50,23.25,4.81,1.09,2000-07-14
Nifty 50,22.78,4.71,1.06,2000-07-17
Nifty 50,22.53,4.66,1.07,2000-07-18
Nifty 50,22.11,4.57,1.09,2000-07-19
Nifty 50,21.93,4.54,1.10,2000-07-20
Nifty 50,21.51,4.45,1.12,2000-07-21
Nifty 50,20.47,4.25,1.17,2000-07-24
Nifty 50,20.96,4.35,1.14,2000-07-25
Nifty 50,20.48,4.25,1.19,2000-07-26
Nifty 50,20.79,4.32,1.18,2000-07-27
Nifty 50,20.72,4.30,1.18,2000-07-28
Nifty 50,20.71,4.30,1.18,2000-07-31
Nifty 50,20.58,4.29,1.19,2000-08-01
Nifty 50,20.66,4.31,1.18,2000-08-02
Nifty 50,20.49,4.27,1.19,2000-08-03
Nifty 50,20.45,4.27,1.19,2000-08-04
Nifty 50,20.33,4.24,1.20,2000-08-07
Nifty 50,20.87,4.35,1.17,2000-08-08
Nifty 50,20.86,4.35,1.18,2000-08-09
Nifty 50,20.09,4.22,1.20,2000-08-10
Nifty 50,19.74,4.15,1.21,2000-08-11
Nifty 50,19.85,4.18,1.18,2000-08-14
Nifty 50,20.35,4.28,1.16,2000-08-16
Nifty 50,20.20,4.25,1.17,2000-08-17
Nifty 50,20.45,4.30,1.16,2000-08-18
Nifty 50,20.62,4.34,1.15,2000-08-21
Nifty 50,20.78,4.37,1.14,2000-08-22
Nifty 50,20.87,4.39,1.13,2000-08-23
Nifty 50,20.89,4.40,1.13,2000-08-24
Nifty 50,20.80,4.38,1.14,2000-08-25
Nifty 50,20.63,4.34,1.06,2000-08-28
Nifty 50,20.58,4.33,1.06,2000-08-29
Nifty 50,20.70,4.36,1.08,2000-08-30
Nifty 50,20.97,4.42,1.06,2000-08-31
Nifty 50,21.69,4.66,1.04,2000-09-04
Nifty 50,21.70,4.66,1.04,2000-09-05
Nifty 50,21.81,4.69,1.12,2000-09-06
Nifty 50,21.88,4.70,1.11,2000-09-07
Nifty 50,22.03,4.73,1.11,2000-09-08
Nifty 50,22.13,4.75,1.10,2000-09-11
Nifty 50,22.30,4.79,1.09,2000-09-12
Nifty 50,22.13,4.75,1.10,2000-09-13
Nifty 50,21.96,4.72,1.11,2000-09-14
Nifty 50,21.53,4.63,1.13,2000-09-15
Nifty 50,20.58,4.42,1.18,2000-09-18
Nifty 50,20.01,4.30,1.22,2000-09-19
Nifty 50,20.40,4.38,1.20,2000-09-20
Nifty 50,20.21,4.34,1.21,2000-09-21
Nifty 50,19.24,4.13,1.27,2000-09-22
Nifty 50,19.64,4.22,1.24,2000-09-25
Nifty 50,19.26,4.14,1.26,2000-09-26
Nifty 50,19.64,4.22,1.24,2000-09-27
Nifty 50,19.24,4.13,1.26,2000-09-28
Nifty 50,19.32,4.15,1.26,2000-09-29
Nifty 50,19.48,4.19,1.25,2000-10-03
Nifty 50,19.72,4.24,1.23,2000-10-04
Nifty 50,19.52,4.19,1.25,2000-10-05
Nifty 50,19.52,4.20,1.25,2000-10-06
Nifty 50,19.26,4.14,1.26,2000-10-09
Nifty 50,18.83,4.04,1.29,2000-10-10
Nifty 50,18.26,3.92,1.33,2000-10-11
Nifty 50,18.33,3.94,1.33,2000-10-12
Nifty 50,18.01,3.83,1.36,2000-10-13
Nifty 50,17.78,3.83,1.36,2000-10-16
Nifty 50,17.51,3.77,1.38,2000-10-17
Nifty 50,17.18,3.70,1.41,2000-10-18
Nifty 50,17.64,3.80,1.37,2000-10-19
Nifty 50,17.72,3.82,1.37,2000-10-20
Nifty 50,17.30,3.73,1.40,2000-10-23
Nifty 50,17.43,3.75,1.39,2000-10-24
Nifty 50,17.90,3.86,1.36,2000-10-25
Nifty 50,17.94,3.86,1.36,2000-10-26
Nifty 50,17.83,3.84,1.36,2000-10-27
Nifty 50,17.65,3.80,1.37,2000-10-30
Nifty 50,17.74,3.82,1.37,2000-10-31
Nifty 50,18.16,3.91,1.34,2000-11-01
Nifty 50,18.52,3.99,1.31,2000-11-02
Nifty 50,18.78,4.04,1.29,2000-11-03
Nifty 50,18.76,4.04,1.27,2000-11-06
Nifty 50,18.85,4.06,1.27,2000-11-07
Nifty 50,19.17,4.13,1.25,2000-11-08
Nifty 50,19.21,4.14,1.25,2000-11-09
Nifty 50,18.75,4.04,1.28,2000-11-10
Nifty 50,18.28,3.94,1.31,2000-11-13
Nifty 50,18.80,4.05,1.27,2000-11-14
Nifty 50,18.87,4.07,1.27,2000-11-15
Nifty 50,18.66,4.02,1.29,2000-11-16
Nifty 50,18.70,4.03,1.28,2000-11-17
Nifty 50,18.72,4.03,1.28,2000-11-20
Nifty 50,18.68,4.03,1.28,2000-11-21
Nifty 50,18.49,3.98,1.30,2000-11-22
Nifty 50,18.40,3.96,1.31,2000-11-23
Nifty 50,18.54,3.99,1.30,2000-11-24
Nifty 50,18.96,4.08,1.27,2000-11-27
Nifty 50,19.26,4.15,1.25,2000-11-28
Nifty 50,19.17,4.13,1.25,2000-11-29
Nifty 50,19.22,4.14,1.25,2000-11-30
Nifty 50,19.34,4.17,1.24,2000-12-01
Nifty 50,19.34,4.17,1.24,2000-12-04
Nifty 50,19.47,4.20,1.23,2000-12-05
Nifty 50,19.68,4.24,1.22,2000-12-06
Nifty 50,19.74,4.25,1.22,2000-12-07
Nifty 50,19.91,4.29,1.21,2000-12-08
Nifty 50,20.19,4.35,1.19,2000-12-11
Nifty 50,20.21,4.36,1.19,2000-12-12
Nifty 50,20.54,4.43,1.17,2000-12-13
Nifty 50,20.47,4.41,1.18,2000-12-14
Nifty 50,19.91,4.29,1.21,2000-12-15
Nifty 50,19.98,4.31,1.19,2000-12-18
Nifty 50,19.88,4.28,1.20,2000-12-19
Nifty 50,19.68,4.24,1.21,2000-12-20
Nifty 50,19.41,4.18,1.23,2000-12-21
Nifty 50,18.87,4.07,1.26,2000-12-22
Nifty 50,18.42,3.97,1.29,2000-12-26
Nifty 50,18.67,4.02,1.27,2000-12-27
Nifty 50,18.98,4.09,1.25,2000-12-28
Nifty 50,19.20,4.14,1.24,2000-12-29
Nifty 50,19.06,4.11,1.25,2001-01-01
Nifty 50,19.33,4.16,1.23,2001-01-02
Nifty 50,19.62,4.23,1.22,2001-01-03
Nifty 50,19.87,4.28,1.20,2001-01-04
Nifty 50,20.17,4.35,1.18,2001-01-05
Nifty 50,19.90,4.29,1.20,2001-01-08
Nifty 50,19.93,4.30,1.20,2001-01-09
Nifty 50,19.56,4.22,1.22,2001-01-10
Nifty 50,19.46,4.19,1.23,2001-01-11
Nifty 50,19.55,4.21,1.22,2001-01-12
Nifty 50,20.85,4.33,1.22,2001-01-15
Nifty 50,20.95,4.35,1.21,2001-01-16
Nifty 50,21.03,4.36,1.21,2001-01-17
Nifty 50,21.16,4.39,1.20,2001-01-18
Nifty 50,21.53,4.47,1.18,2001-01-19
Nifty 50,21.84,4.53,1.17,2001-01-22
Nifty 50,21.96,4.56,1.16,2001-01-23
Nifty 50,22.13,4.59,1.15,2001-01-24
Nifty 50,22.20,4.61,1.15,2001-01-25
Nifty 50,21.74,4.51,1.17,2001-01-29
Nifty 50,22.35,4.64,1.14,2001-01-30
Nifty 50,22.22,4.61,1.15,2001-01-31
Nifty 50,22.02,4.57,1.16,2001-02-01
Nifty 50,22.34,4.64,1.14,2001-02-02
Nifty 50,22.40,4.65,1.14,2001-02-05
Nifty 50,22.47,4.66,1.13,2001-02-06
Nifty 50,22.22,4.61,1.15,2001-02-07
Nifty 50,22.62,4.69,1.13,2001-02-08
Nifty 50,22.78,4.73,1.12,2001-02-09
Nifty 50,22.73,4.71,1.08,2001-02-12
Nifty 50,22.55,4.68,1.09,2001-02-13
Nifty 50,20.89,4.54,1.09,2001-02-14
Nifty 50,21.24,4.61,1.07,2001-02-15
