,SemiStd3m_.NSEI,SemiStd3m_.NIFMDCP100,SemiStd3m_.NIFSMCP100,SemiStd6m_.NSEI,SemiStd6m_.NIFMDCP100,SemiStd6m_.NIFSMCP100,SemiStd12m_.NSEI,SemiStd12m_.NIFMDCP100,SemiStd12m_.NIFSMCP100
SemiStd3m_.NSEI,0.0003981831919056108,0.00041424486812312837,0.00046956346799404195,0.00022963410472414,0.00019626720684339587,0.0002442908830666709,0.00013827050586917155,0.00013357471368065585,0.00018392218255365242
SemiStd3m_.NIFMDCP100,0.00041424486812312837,0.0005929641986722352,0.0006805103460939322,0.00021023500069067147,0.000267255904774003,0.000309157733860039,0.00012608987824156185,0.00018271252787361938,0.00023274945347004263
SemiStd3m_.NIFSMCP100,0.00046956346799404195,0.0006805103460939322,0.0009213128217774933,0.00023457172484202463,0.0003031775602005171,0.0003997371491199857,0.00013809861831440333,0.0001898158413088086,0.0002613712629157075
SemiStd6m_.NSEI,0.00022963410472414,0.00021023500069067147,0.00023457172484202463,0.0002425093894736004,0.00020249610337443632,0.00023934655781530123,0.0001376942027786147,0.00011159380492506151,0.00016750702727577968
SemiStd6m_.NIFMDCP100,0.00019626720684339587,0.000267255904774003,0.0003031775602005171,0.00020249610337443632,0.0002796242945855275,0.000309199784358244,0.00010733237137067993,0.00017911199697893333,0.0002320287143786198
SemiStd6m_.NIFSMCP100,0.0002442908830666709,0.000309157733860039,0.0003997371491199857,0.00023934655781530123,0.000309199784358244,0.00041220652281175887,0.0001237012501194724,0.00017982013750202653,0.0002550625523898339
SemiStd12m_.NSEI,0.00013827050586917155,0.00012608987824156185,0.00013809861831440333,0.0001376942027786147,0.00010733237137067993,0.0001237012501194724,0.00011725810907781458,8.581808061375007e-05,0.00013262309770126042
SemiStd12m_.NIFMDCP100,0.00013357471368065585,0.00018271252787361938,0.0001898158413088086,0.00011159380492506151,0.00017911199697893333,0.00017982013750202653,8.581808061375007e-05,0.00017337515843573594,0.00021009374691922017
SemiStd12m_.NIFSMCP100,0.00018392218255365242,0.00023274945347004263,0.0002613712629157075,0.00016750702727577968,0.0002320287143786198,0.0002550625523898339,0.00013262309770126042,0.00021009374691922017,0.00027801823993494674
