Regime,n_obs,Avg_Group_Cov,Avg_Group_Corr,Min_Group_Corr,Max_Group_Corr,Avg_XT_Cov,Avg_XT_Corr,Min_XT_Corr,Max_XT_Corr
GFC,36,0.03323029792860628,0.7883096006166174,0.24359448332203376,0.9931761547646916,0.052457263876454975,0.9747084025032283,0.934390571525307,0.9931761547646916
Post_GFC,60,0.008567884752075277,0.7347854495031308,0.2987616419742381,0.9754008028872603,0.015377051795602992,0.8598122527799692,0.6018855518622498,0.9754008028872603
Derivatives_Expansion,48,0.004148845663227828,0.6973414641568382,0.26964760591091014,0.9760417835228807,0.006266316170884511,0.8047758255555143,0.5194329871595078,0.9737111152710497
COVID,36,0.014203022024430632,0.7685967547101453,0.2975553150532546,0.9954883623696764,0.023431627046516298,0.963230911587966,0.8765773346233552,0.9954883623696764
Recent,35,0.004724241333788716,0.7362655543209119,0.1947480711778257,0.988028903024546,0.007442204009668605,0.8568258556354401,0.5799764710812851,0.988028903024546
