,Drawdown3m_.NSEI,Drawdown3m_.NIFMDCP100,Drawdown3m_.NIFSMCP100,Drawdown6m_.NSEI,Drawdown6m_.NIFMDCP100,Drawdown6m_.NIFSMCP100,Drawdown12m_.NSEI,Drawdown12m_.NIFMDCP100,Drawdown12m_.NIFSMCP100
Drawdown3m_.NSEI,1.0,0.9712553796550356,0.9368184832261696,0.8217756037564271,0.775985144800946,0.7172458847084052,0.7753351585572528,0.744075772709657,0.696110683438362
Drawdown3m_.NIFMDCP100,0.9712553796550356,1.0,0.9854869689963484,0.8143469803973571,0.7983298307236676,0.7504886001429636,0.7694230130195671,0.7658263365241209,0.7178823121621253
Drawdown3m_.NIFSMCP100,0.9368184832261696,0.9854869689963484,1.0,0.7885953235856231,0.7843414684337897,0.7639661361771206,0.7421094726735702,0.7477515734114276,0.715053173342467
Drawdown6m_.NSEI,0.8217756037564271,0.8143469803973571,0.7885953235856231,1.0,0.9807158475631476,0.9334362007166924,0.9561687530836606,0.9411782637694046,0.8704505676557093
Drawdown6m_.NIFMDCP100,0.775985144800946,0.7983298307236676,0.7843414684337897,0.9807158475631476,1.0,0.9616253676717359,0.9627735838413685,0.9735682967574212,0.8966398021850716
Drawdown6m_.NIFSMCP100,0.7172458847084052,0.7504886001429636,0.7639661361771206,0.9334362007166924,0.9616253676717359,1.0,0.9167149577909217,0.9320036375043326,0.9351914589020348
Drawdown12m_.NSEI,0.7753351585572528,0.7694230130195671,0.7421094726735702,0.9561687530836606,0.9627735838413685,0.9167149577909217,1.0,0.9881219882500029,0.8938334964072203
Drawdown12m_.NIFMDCP100,0.744075772709657,0.7658263365241209,0.7477515734114276,0.9411782637694046,0.9735682967574212,0.9320036375043326,0.9881219882500029,1.0,0.9058455871252912
Drawdown12m_.NIFSMCP100,0.696110683438362,0.7178823121621253,0.715053173342467,0.8704505676557093,0.8966398021850716,0.9351914589020348,0.8938334964072203,0.9058455871252912,1.0
