,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100
Return6m_.NSEI,0.009963751069376112,0.014516943397649112,0.016679753451941785
Return6m_.NIFMDCP100,0.014516943397649112,0.025529543361783317,0.030352723887641313
Return6m_.NIFSMCP100,0.016679753451941785,0.030352723887641313,0.040005283327463635
