,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100
Return6m_.NSEI,1.0,0.9102113060387551,0.8354481800344872
Return6m_.NIFMDCP100,0.9102113060387551,1.0,0.9497678677264022
Return6m_.NIFSMCP100,0.8354481800344872,0.9497678677264022,1.0
