,Drawdown6m_.NSEI,Drawdown6m_.NIFMDCP100,Drawdown6m_.NIFSMCP100
Drawdown6m_.NSEI,0.004609840808573507,0.005710662005122474,0.0073026086219941284
Drawdown6m_.NIFMDCP100,0.005710662005122474,0.007355303513574648,0.009502910355210448
Drawdown6m_.NIFSMCP100,0.0073026086219941284,0.009502910355210448,0.013277027152163078
