,SemiStd3m_.NSEI,SemiStd3m_.NIFMDCP100,SemiStd3m_.NIFSMCP100,SemiStd6m_.NSEI,SemiStd6m_.NIFMDCP100,SemiStd6m_.NIFSMCP100,SemiStd12m_.NSEI,SemiStd12m_.NIFMDCP100,SemiStd12m_.NIFSMCP100
SemiStd3m_.NSEI,0.000280047428035838,0.00028237443891501957,0.00047455205385605676,0.00010328139370598863,0.0001137174075091371,0.00020199764819719092,6.137307854488241e-05,5.54081462167507e-05,0.00010474252821633826
SemiStd3m_.NIFMDCP100,0.00028237443891501957,0.0006078118607677707,0.0009089187191071423,0.00011954202368921742,0.00032130324271350267,0.0004546030466305466,7.540056188251799e-05,0.00018002930945854324,0.00023129678658888995
SemiStd3m_.NIFSMCP100,0.00047455205385605676,0.0009089187191071423,0.0014481989599815618,0.00021089230247240936,0.0004841155988735658,0.0007323949374382503,0.0001433145242269676,0.0002706368833328006,0.0003808731383107123
SemiStd6m_.NSEI,0.00010328139370598863,0.00011954202368921742,0.00021089230247240936,0.00012037063995898702,0.00013369544105558176,0.000244875489761858,6.0363231263381835e-05,4.4372676735079556e-05,9.309585093919345e-05
SemiStd6m_.NIFMDCP100,0.0001137174075091371,0.00032130324271350267,0.0004841155988735658,0.00013369544105558176,0.0003352850085452262,0.0004991952846715392,7.846232269822025e-05,0.00018290097909695754,0.0002459234695090313
SemiStd6m_.NIFSMCP100,0.00020199764819719092,0.0004546030466305466,0.0007323949374382503,0.000244875489761858,0.0004991952846715392,0.0008024851064811343,0.0001523237767354128,0.00026543900597900296,0.0003989647803367391
SemiStd12m_.NSEI,6.137307854488241e-05,7.540056188251799e-05,0.0001433145242269676,6.0363231263381835e-05,7.846232269822025e-05,0.0001523237767354128,6.677981392738349e-05,6.248959093165095e-05,0.0001255595552480649
SemiStd12m_.NIFMDCP100,5.54081462167507e-05,0.00018002930945854324,0.0002706368833328006,4.4372676735079556e-05,0.00018290097909695754,0.00026543900597900296,6.248959093165095e-05,0.00015077263143651925,0.00021184045446910984
SemiStd12m_.NIFSMCP100,0.00010474252821633826,0.00023129678658888995,0.0003808731383107123,9.309585093919345e-05,0.0002459234695090313,0.0003989647803367391,0.0001255595552480649,0.00021184045446910984,0.0003434573706423487
