,Return3m_.NSEI,Return3m_.NIFMDCP100,Return3m_.NIFSMCP100,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return3m_.NSEI,0.01141728196160759,0.013619085499043304,0.016969271282147258,0.010823204929421166,0.013703194061981703,0.018123840190209895,0.009332602264224405,0.013805128748183227,0.01729979784527586
Return3m_.NIFMDCP100,0.013619085499043304,0.017740863009844548,0.022698571771233876,0.013789720480414314,0.01844348546964523,0.02441998643227328,0.012752083375609447,0.019612680487381864,0.025987730649174808
Return3m_.NIFSMCP100,0.016969271282147258,0.022698571771233876,0.031120512066765763,0.017901605510657424,0.02415507743143268,0.03334956998058231,0.01632958788172964,0.025825028929015358,0.03620757211668547
Return6m_.NSEI,0.010823204929421166,0.013789720480414314,0.017901605510657424,0.024492695221472193,0.03192334800109093,0.0424611492691208,0.023691453748481705,0.03567754749750958,0.04741973580386469
Return6m_.NIFMDCP100,0.013703194061981703,0.01844348546964523,0.02415507743143268,0.03192334800109093,0.04345889307298845,0.05827401763742989,0.032080316502530834,0.049379254945804155,0.06709903474726406
Return6m_.NIFSMCP100,0.018123840190209895,0.02441998643227328,0.03334956998058231,0.0424611492691208,0.05827401763742989,0.08108836336928112,0.04159433175316182,0.06496005390502854,0.09103183476032116
Return12m_.NSEI,0.009332602264224405,0.012752083375609447,0.01632958788172964,0.023691453748481705,0.032080316502530834,0.04159433175316182,0.05844362308721935,0.08711374702300018,0.11710899094279696
Return12m_.NIFMDCP100,0.013805128748183227,0.019612680487381864,0.025825028929015358,0.03567754749750958,0.049379254945804155,0.06496005390502854,0.08711374702300018,0.13281390477078098,0.18039792046039008
Return12m_.NIFSMCP100,0.01729979784527586,0.025987730649174808,0.03620757211668547,0.04741973580386469,0.06709903474726406,0.09103183476032116,0.11710899094279696,0.18039792046039008,0.24999240221763758
