,Drawdown12m_.NSEI,Drawdown12m_.NIFMDCP100,Drawdown12m_.NIFSMCP100
Drawdown12m_.NSEI,0.0032519032074330334,0.0038401188423510773,0.003973107023372741
Drawdown12m_.NIFMDCP100,0.0038401188423510773,0.006129462109046777,0.006919975893904788
Drawdown12m_.NIFSMCP100,0.003973107023372741,0.006919975893904788,0.00856077735785743
