,SemiStd3m_.NSEI,SemiStd3m_.NIFMDCP100,SemiStd3m_.NIFSMCP100,SemiStd6m_.NSEI,SemiStd6m_.NIFMDCP100,SemiStd6m_.NIFSMCP100,SemiStd12m_.NSEI,SemiStd12m_.NIFMDCP100,SemiStd12m_.NIFSMCP100
SemiStd3m_.NSEI,1.0,0.9572805087813073,0.952391908264861,0.7530389966731935,0.7306307952660077,0.6937928294646114,0.4525900105820041,0.4919780206385357,0.39712341931501965
SemiStd3m_.NIFMDCP100,0.9572805087813073,1.0,0.964181279773326,0.8520353105263445,0.8596750669925105,0.8156116432562043,0.5128425670991966,0.5576035540791978,0.4507812548329812
SemiStd3m_.NIFSMCP100,0.952391908264861,0.964181279773326,1.0,0.8382074880866823,0.823641403656228,0.8133417425367591,0.5424209398379616,0.5773768300272817,0.499786323944784
SemiStd6m_.NSEI,0.7530389966731935,0.8520353105263445,0.8382074880866823,1.0,0.9741755550548822,0.9783319504859788,0.6512906176316932,0.6879498526424829,0.6123924376142634
SemiStd6m_.NIFMDCP100,0.7306307952660077,0.8596750669925105,0.823641403656228,0.9741755550548822,1.0,0.9780867703991794,0.6868964425925873,0.7255428452642373,0.6420323495304803
SemiStd6m_.NIFSMCP100,0.6937928294646114,0.8156116432562043,0.8133417425367591,0.9783319504859788,0.9780867703991794,1.0,0.7244150757013215,0.7515322131268826,0.6913285780578058
SemiStd12m_.NSEI,0.4525900105820041,0.5128425670991966,0.5424209398379616,0.6512906176316932,0.6868964425925873,0.7244150757013215,1.0,0.9931761547646916,0.9842774275181835
SemiStd12m_.NIFMDCP100,0.4919780206385357,0.5576035540791978,0.5773768300272817,0.6879498526424829,0.7255428452642373,0.7515322131268826,0.9931761547646916,1.0,0.9770365636569732
SemiStd12m_.NIFSMCP100,0.39712341931501965,0.4507812548329812,0.499786323944784,0.6123924376142634,0.6420323495304803,0.6913285780578058,0.9842774275181835,0.9770365636569732,1.0
