,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return12m_.NSEI,1.0,0.9823779693537714,0.9812721282629691
Return12m_.NIFMDCP100,0.9823779693537714,1.0,0.9812631995430292
Return12m_.NIFSMCP100,0.9812721282629691,0.9812631995430292,1.0
