,SemiStd12m_.NSEI,SemiStd12m_.NIFMDCP100,SemiStd12m_.NIFSMCP100
SemiStd12m_.NSEI,6.677981392738349e-05,6.248959093165095e-05,0.0001255595552480649
SemiStd12m_.NIFMDCP100,6.248959093165095e-05,0.00015077263143651925,0.00021184045446910984
SemiStd12m_.NIFSMCP100,0.0001255595552480649,0.00021184045446910984,0.0003434573706423487
