,Return3m_.NSEI,Return3m_.NIFMDCP100,Return3m_.NIFSMCP100,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return3m_.NSEI,0.005037046249901571,0.007281034535553822,0.008280512869655933,0.004867258985658707,0.007043310134358351,0.008481911114818724,0.005327604193861988,0.009359972813834109,0.011994059107398572
Return3m_.NIFMDCP100,0.007281034535553822,0.012428658545782921,0.014845250251051418,0.006958462206146899,0.012031531258355668,0.014853272192179606,0.008835269839367851,0.017197344455654122,0.022373129694827555
Return3m_.NIFSMCP100,0.008280512869655933,0.014845250251051418,0.020081001078793907,0.007587724279004393,0.014021909610480023,0.01930598632456735,0.008768835586601815,0.016987186273614972,0.024559659407122687
Return6m_.NSEI,0.004867258985658707,0.006958462206146899,0.007587724279004393,0.009963751069376112,0.014516943397649112,0.016679753451941785,0.011313230642889555,0.019390203528042844,0.02439713359786002
Return6m_.NIFMDCP100,0.007043310134358351,0.012031531258355668,0.014021909610480023,0.014516943397649112,0.025529543361783317,0.030352723887641313,0.020363815412441994,0.0390311850842277,0.049517743029303674
Return6m_.NIFSMCP100,0.008481911114818724,0.014853272192179606,0.01930598632456735,0.016679753451941785,0.030352723887641313,0.040005283327463635,0.02057377789948388,0.039398567742747144,0.054527435379029134
Return12m_.NSEI,0.005327604193861988,0.008835269839367851,0.008768835586601815,0.011313230642889555,0.020363815412441994,0.02057377789948388,0.042899163094183665,0.0726939092172326,0.0808271333128032
Return12m_.NIFMDCP100,0.009359972813834109,0.017197344455654122,0.016987186273614972,0.019390203528042844,0.0390311850842277,0.039398567742747144,0.0726939092172326,0.13410953570706943,0.14894849548965597
Return12m_.NIFSMCP100,0.011994059107398572,0.022373129694827555,0.024559659407122687,0.02439713359786002,0.049517743029303674,0.054527435379029134,0.0808271333128032,0.14894849548965597,0.1738786922536486
