,Return3m_.NSEI,Return3m_.NIFMDCP100,Return3m_.NIFSMCP100,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return3m_.NSEI,1.0,0.9138305722894605,0.8348172216076208,0.5780285101204138,0.5372272904409048,0.46234414997931955,0.5498847148767784,0.5083313472115817,0.4910850992556354
Return3m_.NIFMDCP100,0.9138305722894605,1.0,0.9712195279238607,0.6166717737787294,0.658200916237774,0.5924097191570508,0.4845180211600603,0.5076452444725563,0.49798970066033227
Return3m_.NIFSMCP100,0.8348172216076208,0.9712195279238607,1.0,0.6363247882270139,0.7157945352879133,0.6732051138770152,0.441508944112865,0.49733123478241176,0.5030263401075302
Return6m_.NSEI,0.5780285101204138,0.6166717737787294,0.6363247882270139,1.0,0.9155114810969708,0.854354864050378,0.6504394653002449,0.7050004612487871,0.7214848304973014
Return6m_.NIFMDCP100,0.5372272904409048,0.658200916237774,0.7157945352879133,0.9155114810969708,1.0,0.9811612345260109,0.5738606247247795,0.7039033180875984,0.7345950872808701
Return6m_.NIFSMCP100,0.46234414997931955,0.5924097191570508,0.6732051138770152,0.854354864050378,0.9811612345260109,1.0,0.5094837037737857,0.6729639125608434,0.7126226190678542
Return12m_.NSEI,0.5498847148767784,0.4845180211600603,0.441508944112865,0.6504394653002449,0.5738606247247795,0.5094837037737857,1.0,0.9389540495765997,0.897941936530662
Return12m_.NIFMDCP100,0.5083313472115817,0.5076452444725563,0.49733123478241176,0.7050004612487871,0.7039033180875984,0.6729639125608434,0.9389540495765997,1.0,0.988028903024546
Return12m_.NIFSMCP100,0.4910850992556354,0.49798970066033227,0.5030263401075302,0.7214848304973014,0.7345950872808701,0.7126226190678542,0.897941936530662,0.988028903024546,1.0
