,Drawdown3m_.NSEI,Drawdown3m_.NIFMDCP100,Drawdown3m_.NIFSMCP100,Drawdown6m_.NSEI,Drawdown6m_.NIFMDCP100,Drawdown6m_.NIFSMCP100,Drawdown12m_.NSEI,Drawdown12m_.NIFMDCP100,Drawdown12m_.NIFSMCP100
Drawdown3m_.NSEI,1.0,0.9686840309462282,0.969334540092353,0.7112252245970274,0.6895472573659707,0.645531741408777,0.6053518561463052,0.584440663949432,0.5223004320353066
Drawdown3m_.NIFMDCP100,0.9686840309462282,1.0,0.9769251978142148,0.7824009835580129,0.7842968576058201,0.7377951328946222,0.6742519989799842,0.6658118954506715,0.5970020349613362
Drawdown3m_.NIFSMCP100,0.969334540092353,0.9769251978142148,1.0,0.7904648759400252,0.7804243360604668,0.7502149121309977,0.6846131196020452,0.6694856688834887,0.613274612446504
Drawdown6m_.NSEI,0.7112252245970274,0.7824009835580129,0.7904648759400252,1.0,0.9838852833800928,0.9869535417359836,0.8708609533726072,0.852193831820737,0.8152011348911268
Drawdown6m_.NIFMDCP100,0.6895472573659707,0.7842968576058201,0.7804243360604668,0.9838852833800928,1.0,0.9878373617674305,0.885276592677259,0.8815546223460703,0.8353402982950263
Drawdown6m_.NIFSMCP100,0.645531741408777,0.7377951328946222,0.7502149121309977,0.9869535417359836,0.9878373617674305,1.0,0.8926830198676596,0.8782286574165988,0.8481261951903066
Drawdown12m_.NSEI,0.6053518561463052,0.6742519989799842,0.6846131196020452,0.8708609533726072,0.885276592677259,0.8926830198676596,1.0,0.9923490860690148,0.9715380005967038
Drawdown12m_.NIFMDCP100,0.584440663949432,0.6658118954506715,0.6694856688834887,0.852193831820737,0.8815546223460703,0.8782286574165988,0.9923490860690148,1.0,0.9796212922720839
Drawdown12m_.NIFSMCP100,0.5223004320353066,0.5970020349613362,0.613274612446504,0.8152011348911268,0.8353402982950263,0.8481261951903066,0.9715380005967038,0.9796212922720839,1.0
