,Drawdown3m_.NSEI,Drawdown3m_.NIFMDCP100,Drawdown3m_.NIFSMCP100,Drawdown6m_.NSEI,Drawdown6m_.NIFMDCP100,Drawdown6m_.NIFSMCP100,Drawdown12m_.NSEI,Drawdown12m_.NIFMDCP100,Drawdown12m_.NIFSMCP100
Drawdown3m_.NSEI,0.007228003715772605,0.00840515536747473,0.010120344343260809,0.007719133021587486,0.009076813722145397,0.010635003426449385,0.009414090724074608,0.011088716786940617,0.01136027474983256
Drawdown3m_.NIFMDCP100,0.00840515536747473,0.010416188810407684,0.012244136178388177,0.010193797449592163,0.012393532230243818,0.014591537530608531,0.0125874564741777,0.015164833773806025,0.015587967785656682
Drawdown3m_.NIFSMCP100,0.010120344343260809,0.012244136178388177,0.015080815809648615,0.012392164938360942,0.014838958669790797,0.017852907675193822,0.01537867619217698,0.01834785862570602,0.019267557817128127
Drawdown6m_.NSEI,0.007719133021587486,0.010193797449592163,0.012392164938360942,0.016296876739095658,0.019447190065394807,0.02441516980205323,0.020335849837691777,0.024278522812600963,0.026624179481205445
Drawdown6m_.NIFMDCP100,0.009076813722145397,0.012393532230243818,0.014838958669790797,0.019447190065394807,0.023972890823926937,0.02963851912251983,0.025072665254530963,0.0304607865339917,0.03308894368228179
Drawdown6m_.NIFSMCP100,0.010635003426449385,0.014591537530608531,0.017852907675193822,0.02441516980205323,0.02963851912251983,0.03755101648211425,0.03164240173373384,0.037979578066090924,0.04204657180551323
Drawdown12m_.NSEI,0.009414090724074608,0.0125874564741777,0.01537867619217698,0.020335849837691777,0.025072665254530963,0.03164240173373384,0.03345974560383182,0.0405095551259861,0.04546533295176403
Drawdown12m_.NIFMDCP100,0.011088716786940617,0.015164833773806025,0.01834785862570602,0.024278522812600963,0.0304607865339917,0.037979578066090924,0.0405095551259861,0.04980390142104032,0.05593055962512642
Drawdown12m_.NIFSMCP100,0.01136027474983256,0.015587967785656682,0.019267557817128127,0.026624179481205445,0.03308894368228179,0.04204657180551323,0.04546533295176403,0.05593055962512642,0.06545133853215566
