Regime,Group,Feature,Feature_MeanCorr,Feature_MaxCorr,Feature_MinCorr,Feature_MeanCov,Feature_MaxCov,Feature_MinCov
Derivatives_Expansion,DrawdownXm,Drawdown6m_.NSEI,0.7110878149190888,0.8940526756488105,0.6049425811393478,0.0012938373086065296,0.001921219764268368,0.0008488661440070204
Derivatives_Expansion,DrawdownXm,Drawdown6m_.NIFMDCP100,0.794446013765914,0.9760417835228807,0.5815576699593631,0.002049749267585339,0.003904193847626523,0.0008530356689039234
Derivatives_Expansion,DrawdownXm,Drawdown6m_.NIFSMCP100,0.7836064839129462,0.9699891200661749,0.5510700020954038,0.0029913600544541523,0.006521548297499912,0.0012356855070436083
Derivatives_Expansion,DrawdownXm,Drawdown12m_.NSEI,0.6247098989049228,0.8940526756488105,0.5194329871595078,0.001430427940303502,0.0021509593781715683,0.0009590971307973377
Derivatives_Expansion,DrawdownXm,Drawdown12m_.NIFMDCP100,0.7733538080513787,0.9760417835228807,0.5377288351402205,0.0024054227409320895,0.005084640126795892,0.0009362542991158984
Derivatives_Expansion,DrawdownXm,Drawdown12m_.NIFSMCP100,0.717559498268159,0.9700730178293657,0.45711605545798345,0.003411927530333211,0.006521548297499912,0.0013510090992763335
Derivatives_Expansion,SemiStdXm,SemiStd3m_.NSEI,0.4806872616899991,0.745167572650487,0.26964760591091014,0.00017468083689517054,0.00047455205385605676,5.54081462167507e-05
Derivatives_Expansion,SemiStdXm,SemiStd3m_.NIFMDCP100,0.6166262094703643,0.9687826376298146,0.37425481338563216,0.0003216835161231725,0.0009089187191071423,7.540056188251799e-05
Derivatives_Expansion,SemiStdXm,SemiStd3m_.NIFSMCP100,0.646656909539771,0.9687826376298146,0.4608435233257551,0.00045071226970223817,0.0009089187191071423,0.0001433145242269676
Derivatives_Expansion,SemiStdXm,SemiStd6m_.NSEI,0.5529370153735711,0.7878917307087084,0.3293776189962337,0.00012626480120283876,0.000244875489761858,4.4372676735079556e-05
Derivatives_Expansion,SemiStdXm,SemiStd6m_.NIFMDCP100,0.6835028263737553,0.9623762931528778,0.371111222980949,0.00025741421826594197,0.0004991952846715392,7.846232269822025e-05
Derivatives_Expansion,SemiStdXm,SemiStd6m_.NIFSMCP100,0.7109648547306986,0.9623762931528778,0.4261004848692168,0.00036872424621881743,0.0007323949374382503,0.0001523237767354128
Derivatives_Expansion,SemiStdXm,SemiStd12m_.NSEI,0.5739190096829561,0.8290691324250086,0.37425481338563216,9.491083019138734e-05,0.0001523237767354128,6.0363231263381835e-05
Derivatives_Expansion,SemiStdXm,SemiStd12m_.NIFMDCP100,0.6128964555032238,0.9309175582951086,0.26964760591091014,0.00015913963077748692,0.0002706368833328006,4.4372676735079556e-05
Derivatives_Expansion,SemiStdXm,SemiStd12m_.NIFSMCP100,0.6358114862921547,0.9309175582951086,0.3377309314690322,0.0002240370704522599,0.0003989647803367391,9.309585093919345e-05
COVID,LogReturn,LogReturn_.NSEI,0.9039418419972793,0.9313063493712035,0.8765773346233552,0.005748831862410797,0.006172844222028107,0.005324819502793486
COVID,LogReturn,LogReturn_.NIFMDCP100,0.9518336377825236,0.9723609261938436,0.9313063493712035,0.006942769070096194,0.008560718637398903,0.005324819502793486
COVID,LogReturn,LogReturn_.NIFSMCP100,0.9244691304085995,0.9723609261938436,0.8765773346233552,0.007366781429713505,0.008560718637398903,0.006172844222028107
COVID,ReturnXm,Return3m_.NSEI,0.5943550052566957,0.9569278887602837,0.3238144762160073,0.01420951560256085,0.018123840190209895,0.009332602264224405
