,Return3m_.NSEI,Return3m_.NIFMDCP100,Return3m_.NIFSMCP100,Return6m_.NSEI,Return6m_.NIFMDCP100,Return6m_.NIFSMCP100,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return3m_.NSEI,1.0,0.7890767791577792,0.7435748867814305,0.6518616071280272,0.4428025625790136,0.4387720737341969,0.4234301800312929,0.34226969925377604,0.43094388335052414
Return3m_.NIFMDCP100,0.7890767791577792,1.0,0.9348521471418396,0.5426897048943243,0.6731564610224892,0.668096513214021,0.3969841682253752,0.5242560461605343,0.5775663728550392
Return3m_.NIFSMCP100,0.7435748867814305,0.9348521471418396,1.0,0.5034798113900321,0.674806884019844,0.7084100264012465,0.35729932511499113,0.5198092503387096,0.6172832467840845
Return6m_.NSEI,0.6518616071280272,0.5426897048943243,0.5034798113900321,1.0,0.7506617700701762,0.6908263656728129,0.6000764574129861,0.43017221673584205,0.49697307885560366
Return6m_.NIFMDCP100,0.4428025625790136,0.6731564610224892,0.674806884019844,0.7506617700701762,1.0,0.9602857969907195,0.5239940676355787,0.6867404188665434,0.7185534255440981
Return6m_.NIFSMCP100,0.4387720737341969,0.668096513214021,0.7084100264012465,0.6908263656728129,0.9602857969907195,1.0,0.4350519611573179,0.6193971740315816,0.6994910173003009
Return12m_.NSEI,0.4234301800312929,0.3969841682253752,0.35729932511499113,0.6000764574129861,0.5239940676355787,0.4350519611573179,1.0,0.8364251116880612,0.8160041871126427
Return12m_.NIFMDCP100,0.34226969925377604,0.5242560461605343,0.5198092503387096,0.43017221673584205,0.6867404188665434,0.6193971740315816,0.8364251116880612,1.0,0.9591248912688497
Return12m_.NIFSMCP100,0.43094388335052414,0.5775663728550392,0.6172832467840845,0.49697307885560366,0.7185534255440981,0.6994910173003009,0.8160041871126427,0.9591248912688497,1.0
