,LogReturn_.NSEI,LogReturn_.NIFMDCP100,LogReturn_.NIFSMCP100
LogReturn_.NSEI,0.010934132399533947,0.01225979140607554,0.014160227274575015
LogReturn_.NIFMDCP100,0.01225979140607554,0.015299850249956034,0.017425868521066888
LogReturn_.NIFSMCP100,0.014160227274575015,0.017425868521066888,0.0210038652971739
