,Return12m_.NSEI,Return12m_.NIFMDCP100,Return12m_.NIFSMCP100
Return12m_.NSEI,0.011368602856815183,0.02246474501225434,0.028898879007085973
Return12m_.NIFMDCP100,0.02246474501225434,0.05035089711183135,0.06691946340054973
Return12m_.NIFSMCP100,0.028898879007085973,0.06691946340054973,0.09110839338607753
