,Drawdown3m_.NSEI,Drawdown3m_.NIFMDCP100,Drawdown3m_.NIFSMCP100
Drawdown3m_.NSEI,1.0,0.7992310325100795,0.8199076948574529
Drawdown3m_.NIFMDCP100,0.7992310325100795,1.0,0.9737111152710497
Drawdown3m_.NIFSMCP100,0.8199076948574529,0.9737111152710497,1.0
