"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2005-01-03,NIFTY 50,NIFTY 50,NSE,2080.0,2118.6,2080.0,2115.0,0,2025-10-15 10:50:43.804
2005-01-03,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,3046.5,3046.5,3046.5,3046.5,0,2025-10-15 10:50:53.899
2005-01-03,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1375.9,1375.9,1375.9,1375.9,0,2025-10-15 10:53:52.910
2005-01-04,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,3045.9,3045.9,3045.9,3045.9,0,2025-10-15 10:50:53.899
2005-01-04,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1382.6,1382.6,1382.6,1382.6,0,2025-10-15 10:53:52.910
2005-01-04,NIFTY 50,NIFTY 50,NSE,2116.94,2120.15,2100.55,2103.75,0,2025-10-15 10:50:43.804
2005-01-05,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,2933.9,2933.9,2933.9,2933.9,0,2025-10-15 10:50:53.899
2005-01-05,NIFTY 50,NIFTY 50,NSE,2103.75,2105.1,1990.15,2032.2,0,2025-10-15 10:50:43.804
2005-01-05,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1336.5,1336.5,1336.5,1336.5,0,2025-10-15 10:53:52.910
2005-01-06,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,2878.4,2878.4,2878.4,2878.4,0,2025-10-15 10:50:53.899
2005-01-06,NIFTY 50,NIFTY 50,NSE,2031.55,2035.65,1984.25,1998.35,0,2025-10-15 10:50:43.804
2005-01-06,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1317.9,1317.9,1317.9,1317.9,0,2025-10-15 10:53:52.910
2005-01-07,NIFTY 50,NIFTY 50,NSE,1998.25,2021.45,1992.55,2015.5,0,2025-10-15 10:50:43.804
2005-01-07,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1346.5,1346.5,1346.5,1346.5,0,2025-10-15 10:53:52.910
2005-01-07,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,2924.3,2924.3,2924.3,2924.3,0,2025-10-15 10:50:53.899
2005-01-10,NIFTY 50,NIFTY 50,NSE,2016.75,2025.9,1974.8,1982.0,0,2025-10-15 10:50:43.804
2005-01-10,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,2932.8,2932.8,2932.8,2932.8,0,2025-10-15 10:50:53.899
2005-01-10,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1354.5,1354.5,1354.5,1354.5,0,2025-10-15 10:53:52.910
